dates,satname,nzd0355-0001,nzd0355-0002,nzd0355-0003,nzd0355-0004,nzd0355-0010,nzd0355-0011,nzd0355-0012,nzd0355-0013,nzd0355-0014,nzd0355-0015,nzd0355-0016,nzd0355-0017,nzd0355-0005,nzd0355-0006,nzd0355-0007,nzd0355-0008,nzd0355-0009,nzd0355-0018,nzd0355-0019,nzd0355-0020,nzd0355-0021,nzd0355-0022,nzd0355-0023,nzd0355-0024,nzd0355-0025,nzd0355-0026,nzd0355-0027,nzd0355-0028,nzd0355-0029,nzd0355-0030,nzd0355-0031,nzd0355-0032,nzd0355-0033,nzd0355-0034,nzd0355-0035,nzd0355-0036,nzd0355-0037,nzd0355-0038,nzd0355-0039,nzd0355-0040,nzd0355-0041,nzd0355-0042,nzd0355-0043,nzd0355-0044,nzd0355-0045,nzd0355-0046,nzd0355-0047,nzd0355-0048,nzd0355-0049,nzd0355-0050,nzd0355-0051,nzd0355-0052,nzd0355-0053,nzd0355-0102,nzd0355-0055,nzd0355-0056,nzd0355-0054,nzd0355-0057,nzd0355-0058,nzd0355-0059,nzd0355-0060,nzd0355-0092,nzd0355-0093,nzd0355-0094,nzd0355-0095,nzd0355-0096,nzd0355-0097,nzd0355-0061,nzd0355-0062,nzd0355-0063,nzd0355-0064,nzd0355-0065,nzd0355-0098,nzd0355-0099,nzd0355-0100,nzd0355-0101
2005-05-23 21:54:36.577000,L5,,,376.34,407.96,,,,,,419.83,411.77,374.31,418.96,409.84,423.15,397.62,425.25,402.52,365.32,365.67,350.63,328.44,326.15,336.61,331.30,357.34,337.61,329.96,331.66,308.24,319.48,295.92,285.50,316.98,285.76,283.31,304.87,309.35,297.20,308.39,286.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-08 21:54:44.925000,L5,,,,,,,,,,,,,,,,,,402.64,377.47,379.88,349.65,335.45,327.68,342.81,370.59,328.78,305.50,346.87,350.92,316.76,334.92,263.89,320.63,310.06,295.83,291.56,301.72,307.11,313.45,313.76,296.78,278.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-27 21:55:20.007000,L5,,,,,,,,,,,,,,,,,,,,,,404.23,404.44,404.83,400.47,403.31,394.41,375.44,374.48,369.40,371.52,354.05,357.50,355.53,343.92,339.49,333.24,337.94,337.59,337.10,320.83,306.20,297.30,307.46,303.96,294.43,281.95,283.45,283.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-28 21:55:20.450000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,412.87,403.01,384.33,383.57,373.99,375.88,352.09,357.44,354.43,342.70,337.15,337.50,339.43,340.86,338.71,330.12,314.30,306.91,308.87,304.31,297.89,286.33,289.31,286.31,280.43,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-19 21:57:51.685000,L5,,,,,371.74,,,,,,,,420.48,383.13,413.55,421.84,419.67,,403.18,378.80,345.32,347.55,334.93,328.48,364.95,366.60,340.86,333.05,314.12,318.60,314.89,303.87,301.36,310.73,302.34,298.91,302.87,306.03,302.96,304.28,287.96,273.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-27 22:00:00.431000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,423.01,405.50,403.93,395.78,391.98,390.07,378.30,373.02,364.76,354.67,347.02,352.25,344.01,351.72,351.53,337.45,323.99,316.59,321.61,319.08,307.88,299.06,298.08,286.89,284.83,283.08,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-02 22:01:32.743000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.75,380.63,362.84,356.31,347.74,344.76,337.38,330.30,324.79,337.12,337.54,335.64,,323.55,304.99,333.52,299.14,287.64,,,,,,,,,,,,,,,,,
2007-01-05 22:02:04.371000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.24,376.85,374.72,362.04,356.23,348.44,341.88,339.50,333.76,327.07,319.98,328.08,,308.47,294.75,326.25,286.68,,,,,,,,,,,,,,,,,,
2007-01-21 22:02:09.591000,L5,,,,,,,,,406.51,372.61,386.39,385.36,,,,,,409.95,401.43,395.43,349.15,351.19,338.62,327.83,336.36,355.35,322.73,325.12,318.55,316.21,322.85,320.19,315.68,317.80,313.75,308.60,298.90,300.63,303.53,302.82,290.93,264.12,275.24,289.16,294.81,282.25,284.24,278.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-06 22:02:11.997000,L5,377.86,413.37,407.65,406.20,,,,,398.86,370.71,382.48,376.36,411.60,397.13,389.70,380.12,437.26,400.29,398.46,372.01,342.75,335.63,326.66,322.33,333.67,354.38,312.20,318.28,328.12,313.09,319.93,313.71,303.93,313.13,299.29,289.61,301.84,300.01,298.68,306.22,289.90,274.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
