dates,satname,nzd0055-0000,nzd0055-0001,nzd0055-0002,nzd0055-0003,nzd0055-0004,nzd0055-0005,nzd0055-0023,nzd0055-0024,nzd0055-0025,nzd0055-0007,nzd0055-0008,nzd0055-0009,nzd0055-0010,nzd0055-0011,nzd0055-0012,nzd0055-0006,nzd0055-0013,nzd0055-0014,nzd0055-0015,nzd0055-0022,nzd0055-0021
2016-05-12 22:10:56.720000,L8,354.04,362.27,337.52,332.29,377.22,382.56,,,,365.08,380.65,382.52,374.36,,,334.32,,,,,
2016-05-28 22:11:03.859000,L8,355.82,364.43,334.85,328.47,407.53,370.61,,,,318.74,377.65,379.20,372.69,,,320.12,,,,,
2016-06-13 22:11:06.720000,L8,354.19,384.38,329.94,328.17,380.01,394.79,,,,367.80,381.49,381.88,376.61,,,332.26,,,,,
2016-06-29 22:11:15.136000,L8,410.26,368.51,339.48,325.06,377.32,394.42,,,,365.71,380.38,381.21,375.34,,,330.42,,,,,
2016-07-15 22:11:22.376000,L8,355.43,368.13,334.91,326.67,379.49,395.40,,,,365.85,382.08,383.16,375.97,,,328.44,,,,,
2016-08-07 22:17:37.552000,L8,403.61,407.90,373.27,365.06,406.03,,387.47,368.14,346.49,,,,,,,,,,,390.13,
2016-08-16 22:11:29.744000,L8,422.50,362.85,341.20,328.61,374.27,384.81,,,,365.99,380.53,381.36,376.26,,,331.52,,,,,
2016-09-01 22:11:36.389000,L8,355.89,349.72,323.87,,361.04,344.05,,,,316.31,372.34,375.53,372.52,,,317.46,,,,,
2016-09-08 22:17:48.858000,L8,,,,,409.11,279.51,386.57,368.64,344.64,383.74,,,,,,348.74,,,,388.47,322.92
2016-09-24 22:17:49.840000,L8,,,,,,,390.26,369.38,343.45,,,,,,,,,,,387.48,305.92
2016-10-10 22:17:54.274000,L8,,,,,404.51,406.07,385.84,366.66,341.85,387.66,,,,,,359.42,,,,386.45,311.44
2016-10-19 22:11:45.519000,L8,352.86,341.57,326.13,311.72,348.84,213.25,,,,,,307.48,334.80,339.52,347.54,258.66,338.94,312.19,266.84,,
