dates,satname,nzd0360-0000,nzd0360-0020,nzd0360-0021,nzd0360-0022,nzd0360-0023,nzd0360-0024,nzd0360-0025,nzd0360-0026,nzd0360-0027,nzd0360-0028,nzd0360-0029,nzd0360-0030,nzd0360-0031,nzd0360-0032,nzd0360-0033,nzd0360-0034,nzd0360-0035,nzd0360-0036,nzd0360-0037,nzd0360-0038,nzd0360-0039,nzd0360-0040,nzd0360-0041,nzd0360-0042,nzd0360-0001,nzd0360-0002,nzd0360-0003,nzd0360-0014,nzd0360-0015,nzd0360-0016,nzd0360-0019,nzd0360-0043,nzd0360-0004,nzd0360-0005,nzd0360-0007,nzd0360-0008,nzd0360-0009,nzd0360-0011,nzd0360-0012,nzd0360-0013,nzd0360-0010,nzd0360-0044,nzd0360-0045,nzd0360-0018,nzd0360-0017,nzd0360-0006,nzd0360-0046,nzd0360-0054,nzd0360-0055,nzd0360-0056,nzd0360-0057,nzd0360-0058,nzd0360-0059,nzd0360-0047,nzd0360-0048,nzd0360-0049,nzd0360-0050,nzd0360-0051,nzd0360-0052,nzd0360-0053,nzd0360-0060,nzd0360-0061
2003-04-08 21:55:59.443000,L7,378.53,,,,,,,394.84,388.68,384.35,378.93,358.37,364.91,337.47,337.81,350.26,339.03,319.16,,,,,,,,,,428.50,399.92,,,,,,,,,,402.59,314.11,,,,,,,,,,,,,,,,,,,,,,
2003-04-24 21:55:58.309000,L7,329.01,418.18,452.33,447.93,442.14,427.28,413.97,404.68,399.97,393.91,391.13,382.89,375.35,362.53,368.50,368.55,364.80,358.72,354.16,348.92,396.77,409.66,390.54,368.86,393.17,394.07,399.68,326.42,330.71,423.01,445.47,339.92,,,,329.34,408.20,365.91,304.30,,386.09,315.69,311.85,411.51,,,,,,,,,,,,,,,,,,
2003-07-21 21:43:45.776000,L5,,,349.41,354.51,349.32,372.24,396.92,408.24,399.84,391.65,390.93,377.51,374.40,366.90,367.75,374.60,360.97,341.02,333.25,340.14,341.89,341.36,335.80,316.85,,,,,,,,,,,,349.43,395.46,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-28 21:45:57.554000,L5,,,339.77,333.02,355.92,363.70,395.16,,,,,,352.06,337.28,340.01,342.28,345.25,338.30,,,,,,,387.21,367.23,338.39,,,,,,403.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-02 21:46:30.745000,L5,356.84,,352.08,351.38,353.70,361.70,385.97,395.77,400.20,369.15,382.53,373.73,383.74,377.54,370.61,375.63,357.75,344.33,331.81,341.84,345.16,335.64,332.66,,400.51,384.38,343.36,,,,,,360.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-20 21:47:56.357000,L5,342.29,,354.22,362.50,359.18,369.66,399.73,402.65,401.78,399.63,400.00,383.40,382.11,375.56,369.43,375.69,361.96,352.69,339.37,346.93,346.58,344.02,337.29,317.99,395.02,394.87,358.29,,,,,,337.08,,,401.09,385.27,,,,392.19,,,,,,,,,,,,,,,,,,,,,
2004-06-05 21:48:24.950000,L5,330.69,,364.64,363.13,360.83,374.31,408.51,411.68,405.88,401.97,405.86,389.54,386.10,381.12,376.38,384.51,363.86,352.34,342.75,345.70,349.57,344.74,338.39,324.39,406.58,397.47,358.87,,,,,305.75,327.73,,,403.24,404.89,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-07 21:49:21.098000,L5,,,,,,,334.20,357.79,367.68,381.15,388.22,367.58,377.65,377.27,367.54,369.95,354.45,316.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-24 21:50:29.935000,L5,364.29,,359.49,368.39,366.47,380.30,406.50,412.00,404.14,400.32,391.68,378.91,379.51,373.98,370.19,374.20,361.53,346.86,337.73,351.40,350.27,346.23,344.13,316.92,410.99,426.56,420.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-25 21:51:19.231000,L5,,368.55,379.62,382.22,375.21,388.55,410.45,417.50,411.42,402.65,400.36,389.62,394.89,387.94,383.88,389.02,377.81,360.86,349.31,356.53,354.10,349.70,343.57,323.83,,,,,,,,306.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-27 21:51:59.516000,L5,,358.18,367.77,382.28,382.85,394.20,417.00,422.33,415.60,413.23,405.70,389.13,386.53,381.69,376.92,383.50,366.63,358.77,354.70,360.32,361.01,357.10,352.74,331.75,,,,,,,,310.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-12 21:52:15.232000,L5,,,362.21,361.93,356.11,364.28,382.22,389.94,388.63,385.96,391.74,378.37,390.41,385.39,378.88,384.75,370.63,350.45,336.08,333.87,336.81,329.67,327.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-15 21:53:21.356000,L5,419.37,,350.74,364.07,364.92,375.99,384.00,376.49,390.46,390.22,390.62,358.25,357.83,349.15,349.05,355.89,346.68,335.65,334.58,346.18,349.95,335.02,327.79,,392.27,350.38,420.90,,,,,,408.27,399.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-04 21:54:04.136000,L5,405.39,,,,,,,,,,,,351.33,346.29,339.08,348.87,347.42,343.10,,,,,,,372.77,367.73,342.80,,,,,,376.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-05 21:54:19.058000,L5,366.59,,347.36,351.25,351.44,360.72,372.00,351.13,385.52,389.37,396.80,381.03,374.91,367.01,364.33,368.43,357.21,348.86,331.57,340.43,342.39,333.19,331.89,,386.50,376.27,344.76,,,,,,370.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-21 21:54:22.812000,L5,358.18,,355.70,360.09,358.79,371.60,397.57,397.44,399.61,389.37,393.34,381.96,377.13,372.49,370.86,378.38,361.62,353.24,340.59,348.61,348.10,341.08,334.43,311.90,396.28,386.84,352.77,,,,,,328.04,,,407.69,364.77,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-23 21:54:36.577000,L5,,351.79,363.82,368.11,367.98,384.22,411.00,416.03,407.88,402.53,402.42,390.85,387.52,381.06,379.57,380.02,366.28,354.29,341.83,351.85,347.11,342.71,340.39,318.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-08 21:54:44.925000,L5,,,351.42,351.32,351.83,373.81,401.00,414.01,403.39,400.77,400.95,384.61,378.03,372.29,370.04,378.07,361.10,346.74,341.24,348.44,347.69,344.60,338.01,316.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-10 21:54:55.488000,L5,,,,,,,459.22,451.34,443.85,439.48,434.16,428.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
