dates,nzd0185-0000,nzd0185-0001,nzd0185-0002,nzd0185-0003,nzd0185-0004,nzd0185-0005,nzd0185-0006,satname
2022-09-12 22:00:07+00:00,335.83124999999995,320.235,312.798,298.4825,280.02500000000003,285.81399999999996,275.522,L9
2022-10-21 22:06:29+00:00,333.74875,317.35625,308.466,293.85,276.59000000000003,283.96,273.358,L9
2022-11-22 22:06:05+00:00,334.99555555555554,318.72333333333336,310.195,296.144,279.588,284.7133333333333,273.9916666666666,L9
2023-02-19 22:00:13+00:00,341.2266666666667,323.92666666666673,313.9599999999999,309.3666666666667,296.18,300.0625,286.0925,L9
2023-03-06 22:06:02+00:00,341.2266666666667,323.92666666666673,313.9599999999999,314.045,296.18,297.8725,285.66499999999996,L8
2023-03-14 22:05:47+00:00,342.68333333333334,324.1966666666667,316.1266666666666,311.664,294.9125,295.034,282.566,L9
2023-03-30 22:05:59+00:00,342.12,325.64500000000004,317.89,310.15000000000003,294.098,293.2633333333333,280.6433333333333,L9
2023-04-07 22:05:40+00:00,339.92199999999997,323.42600000000004,315.6,307.4685714285714,291.5466666666667,292.0028571428571,278.5442857142857,L8
2023-06-10 22:05:03+00:00,337.01,320.6225,312.9425,307.0,286.13800000000003,290.345,277.44166666666666,L8
2023-06-11 21:59:13+00:00,337.01,321.498,312.9425,305.5285714285714,286.99333333333334,289.9342857142857,276.40999999999997,L9
2023-06-18 22:05:21+00:00,335.146,319.75333333333333,311.01,303.59375,282.59857142857146,287.3175,274.44375,L9
2023-06-27 21:59:14+00:00,334.17833333333334,318.61857142857144,309.97499999999997,301.63111111111107,278.37375000000003,287.3175,274.44375,L9
2023-07-05 21:59:30+00:00,333.94,318.26375,310.40285714285716,300.6,278.37375000000003,287.3175,274.44375,L8
2023-07-28 22:05:50+00:00,334.79125,318.51222222222225,311.7475,300.4690909090909,279.62333333333333,286.9622222222222,273.84333333333336,L8
2023-08-05 22:05:47+00:00,333.71444444444444,317.404,310.65777777777777,299.3691666666667,278.006,284.969,272.26,L9
2023-08-14 21:59:37+00:00,333.71444444444444,319.0863636363636,312.53200000000004,300.1569230769231,279.79,285.8036363636364,272.9736363636364,L9
2023-08-22 21:59:50+00:00,333.71444444444444,319.96083333333337,314.08,298.29923076923075,278.0536363636363,283.71363636363634,270.63181818181823,L8
2023-08-30 21:59:47+00:00,334.934,320.6069230769231,314.63416666666666,298.6714285714285,278.9425,283.68833333333333,270.5708333333334,L9
2023-09-15 21:59:56+00:00,333.6077777777778,320.1675,314.1045454545455,298.8607692307692,281.5133333333334,284.70909090909095,269.9127272727273,L9
2023-10-01 21:59:55+00:00,332.755,319.2745454545455,313.197,300.9569230769231,283.7683333333333,287.47636363636366,271.8390909090909,L9
2023-10-08 22:05:46+00:00,334.48625000000004,320.16727272727275,314.01300000000003,301.55692307692306,284.65916666666664,287.37,272.0390909090909,L9
2023-11-09 22:06:12+00:00,334.8466666666667,320.3333333333333,314.18454545454546,301.09142857142854,284.60692307692307,286.9425,271.5625,L9
2023-11-26 22:00:05+00:00,334.8466666666667,320.3333333333333,314.18454545454546,301.952,285.37714285714287,287.0438461538462,271.6253846153846,L8
2023-12-20 22:00:11+00:00,336.6171428571429,320.829,315.319,303.3692307692308,289.12,289.04454545454547,272.57,L9
2024-01-12 22:06:18+00:00,341.3916666666667,323.98777777777775,318.35,306.81083333333333,294.1808333333333,289.6516666666667,273.2125,L9
2024-02-05 22:05:44+00:00,340.57,324.3775,316.38375,309.53000000000003,297.71,292.467,275.15,L8
2024-02-14 21:59:55+00:00,340.57,322.72999999999996,314.5242857142857,309.5211111111111,300.596,294.28499999999997,275.475,L8
2024-03-09 22:00:02+00:00,341.19000000000005,322.46166666666664,312.8583333333333,310.57875,301.6388888888889,295.1411111111111,275.7111111111111,L9
2024-03-16 22:05:47+00:00,340.8233333333333,323.23999999999995,313.4814285714286,306.40875,298.22999999999996,290.9922222222222,273.44888888888886,L9
2024-04-01 22:06:02+00:00,341.2628571428572,324.73125,314.99875,303.6125,296.17555555555555,287.75,271.34888888888895,L9
2024-05-03 22:05:38+00:00,340.4514285714286,325.42875000000004,315.85375,303.87375000000003,296.4555555555556,288.5788888888889,272.35999999999996,L9
2024-05-11 22:05:15+00:00,339.46999999999997,324.37,314.71125,303.24625,295.7011111111111,287.4877777777778,271.75333333333333,L8
2024-06-29 21:58:59+00:00,338.03625,324.23625,314.79375,301.42571428571426,298.22142857142853,289.4142857142857,273.64714285714285,L9
2024-07-07 21:59:13+00:00,337.46000000000004,323.3755555555556,314.5011111111111,300.6825,296.25124999999997,287.62624999999997,272.5375,L8
2024-07-15 21:59:17+00:00,337.67333333333335,321.89875,316.6022222222222,298.6114285714285,294.3542857142857,286.3828571428571,271.4314285714286,L9
2024-07-23 21:59:27+00:00,336.831,321.89875,316.6022222222222,298.6114285714285,293.135,285.34000000000003,270.75875,L8
2024-08-24 21:59:36+00:00,337.68600000000004,322.74,317.9944444444444,296.74375,288.36999999999995,281.48428571428576,268.9585714285714,L8
2024-09-01 21:59:36+00:00,338.4918181818182,324.1255555555556,318.998,298.16444444444437,289.59999999999997,282.21000000000004,269.69,L9
2024-09-08 22:05:24+00:00,336.7,321.74111111111114,316.73699999999997,297.04749999999996,289.3071428571428,281.69000000000005,269.50714285714287,L9
2024-09-16 22:05:57+00:00,337.17454545454547,321.9555555555556,317.28499999999997,297.59124999999995,289.6228571428572,282.3885714285714,269.92285714285714,L8
2024-09-24 22:05:49+00:00,337.385,322.449,317.42545454545456,298.27888888888884,289.9475,282.94875,269.9425,L9
2024-10-03 21:59:47+00:00,336.79272727272723,324.521,316.60600000000005,301.68111111111114,292.78875,286.91625,272.84125,L9
2024-10-26 22:06:12+00:00,336.9875,324.88272727272727,316.6736363636364,301.938,292.48555555555555,286.6466666666667,272.56111111111113,L9
2024-11-04 21:59:57+00:00,337.78749999999997,325.1454545454545,316.9981818181818,302.717,292.6244444444444,286.29777777777775,272.15,L9
2024-12-05 22:06:09+00:00,338.41727272727275,326.291,318.022,304.1277777777778,294.55375,288.03249999999997,275.2522222222222,L8
2024-12-06 21:59:59+00:00,338.41727272727275,327.33363636363634,319.1281818181818,304.96000000000004,294.93,288.85999999999996,275.63199999999995,L9
2024-12-13 22:05:46+00:00,338.3875,327.1191666666667,318.79,304.36636363636364,294.127,288.268,275.0718181818182,L9
2024-12-22 22:00:02+00:00,339.19153846153847,327.5515384615385,319.0607692307692,304.6825,294.0290909090909,288.2681818181818,274.9683333333333,L9
2024-12-29 22:05:47+00:00,340.12416666666667,329.9438461538462,321.0430769230769,306.81333333333333,294.21250000000003,288.30833333333334,275.0438461538461,L9
2025-01-06 22:06:06+00:00,341.70166666666665,331.3715384615385,322.2161538461539,308.19166666666666,295.64,289.97333333333336,275.95307692307694,L8
2025-03-12 21:59:53+00:00,344.37428571428575,334.669,323.21799999999996,310.3781818181819,296.3818181818182,291.25454545454545,276.6933333333333,L9
2025-05-23 21:59:19+00:00,341.65,330.78833333333336,321.52857142857147,308.9983333333334,294.84,289.99666666666667,276.78000000000003,L8
2025-05-31 21:59:17+00:00,339.88800000000003,328.8257142857143,320.15875,306.5842857142857,292.38142857142856,287.3071428571429,274.8725,L9
2025-06-16 21:59:27+00:00,338.366,325.5216666666667,317.5228571428571,304.085,292.366,286.546,272.33599999999996,L9
2025-08-02 22:05:33+00:00,328.4575,312.78000000000003,307.754,293.7,277.8766666666667,275.4166666666667,263.4033333333333,L8
2025-08-11 21:59:52+00:00,328.424,312.536,306.9083333333333,292.166,277.8766666666667,275.4166666666667,263.4033333333333,L8
2025-08-19 21:59:57+00:00,331.09,315.565,308.8828571428571,294.44,280.6725,277.385,265.0375,L9
2025-09-04 22:00:02+00:00,332.6685714285714,318.13,310.7025,296.2514285714286,282.922,278.96,266.568,L9
2025-10-30 22:00:08+00:00,333.67125,319.87125000000003,310.27625,295.74142857142857,282.586,278.298,265.86800000000005,L8
2025-11-06 22:06:19+00:00,333.67125,322.77777777777777,314.2422222222222,300.73,289.055,283.0233333333333,268.66833333333335,L8
