dates,satname,nzd0124-0000,nzd0124-0001,nzd0124-0002,nzd0124-0003,nzd0124-0004,nzd0124-0005,nzd0124-0006,nzd0124-0007,nzd0124-0008,nzd0124-0009,nzd0124-0010,nzd0124-0011,nzd0124-0012,nzd0124-0013,nzd0124-0014,nzd0124-0015,nzd0124-0016,nzd0124-0017,nzd0124-0018,nzd0124-0019,nzd0124-0020,nzd0124-0021,nzd0124-0022,nzd0124-0023,nzd0124-0024,nzd0124-0025,nzd0124-0026,nzd0124-0027,nzd0124-0028,nzd0124-0029,nzd0124-0030,nzd0124-0031,nzd0124-0032,nzd0124-0033,nzd0124-0034,nzd0124-0035,nzd0124-0036,nzd0124-0037,nzd0124-0038,nzd0124-0039,nzd0124-0040
2003-05-10 21:54:22.508000,L7,254.59,314.51,325.98,312.12,309.69,285.44,312.73,294.30,,,226.44,320.91,,308.91,287.18,,,,,,,281.65,286.40,292.42,271.43,280.84,271.47,269.87,265.24,313.83,287.24,310.32,312.67,315.57,301.41,301.97,304.46,300.67,294.40,286.15,277.06
2003-07-21 21:42:09.884000,L5,314.57,325.10,321.34,311.13,308.03,282.57,305.81,,328.47,335.98,329.83,274.67,229.72,277.21,276.09,230.51,,192.06,217.22,255.15,293.53,278.00,295.41,297.06,294.86,301.04,299.83,296.78,301.45,302.25,283.10,294.68,293.97,294.34,296.92,299.79,294.34,288.49,281.51,264.76,268.47
2003-08-06 21:42:27.230000,L5,303.74,316.49,273.50,263.68,306.92,,,,,,310.20,275.17,,,,,204.71,187.30,217.45,266.12,292.32,267.61,287.29,280.29,278.98,280.57,285.10,282.49,288.73,295.39,282.48,291.75,285.62,284.70,293.00,296.71,294.26,280.10,274.54,263.50,260.21
2003-08-13 21:48:45.123000,L5,,311.50,311.16,305.64,306.37,,,,,,308.52,270.81,,,,,,232.15,224.99,257.23,291.26,270.79,280.31,281.11,277.21,275.51,275.57,279.98,283.93,291.38,277.57,291.84,286.49,285.42,293.48,291.41,289.52,281.22,268.38,259.73,263.50
2003-09-07 21:43:00.591000,L5,335.20,351.56,207.11,182.00,326.80,314.37,333.98,339.88,351.47,343.41,335.69,339.71,333.97,,,,,,,,,,,,,163.13,304.32,297.93,252.87,242.04,239.71,298.14,313.93,317.03,315.98,323.38,317.96,306.07,298.78,284.21,280.19
2003-09-14 21:49:18.766000,L5,310.62,318.32,322.25,310.28,234.86,269.06,,,,252.71,319.97,303.52,231.33,254.52,284.67,218.52,204.09,233.89,222.29,274.87,295.82,276.18,290.91,288.31,261.95,239.26,287.17,289.08,291.89,297.93,282.39,290.57,209.72,,,278.22,289.86,282.14,278.30,259.69,262.26
2003-10-25 21:43:40.253000,L5,341.17,343.31,354.43,348.02,355.72,350.51,362.58,362.80,364.29,364.96,357.15,346.09,330.17,320.81,322.11,307.06,305.07,316.32,338.50,330.73,333.17,310.76,327.03,328.50,319.62,321.56,324.73,322.19,328.91,330.30,318.71,333.12,332.01,333.60,333.48,329.69,323.65,317.00,309.26,300.53,293.64
2003-11-17 21:50:09.452000,L5,332.97,337.80,344.42,337.04,321.61,293.06,312.95,,,,,227.91,244.38,264.37,300.90,246.56,,200.73,213.94,224.25,294.22,274.12,293.26,295.85,303.98,310.51,312.24,314.57,321.93,321.98,308.33,313.43,300.62,300.94,301.11,301.96,293.48,288.33,286.03,274.53,276.30
2003-12-12 21:44:10.398000,L5,330.16,241.35,334.78,322.96,311.49,292.83,321.37,,,,,261.97,220.05,271.54,252.17,222.96,201.67,173.09,224.00,226.71,301.88,282.51,307.34,308.98,304.46,310.27,314.50,313.00,321.68,317.66,300.77,302.45,305.48,305.22,307.34,307.55,300.54,297.72,293.61,285.88,277.78
2004-02-14 21:44:33.705000,L5,327.03,332.04,333.46,325.43,317.53,297.96,322.36,,,,304.53,242.91,243.36,264.60,291.50,254.47,,193.60,219.06,249.39,303.88,278.96,296.95,299.11,295.54,300.98,309.42,308.18,316.96,317.45,302.59,303.52,307.14,302.66,302.91,304.01,296.78,294.88,287.45,275.49,276.55
