dates,nzd0319-0000,nzd0319-0001,nzd0319-0002,nzd0319-0003,nzd0319-0004,nzd0319-0005,nzd0319-0006,nzd0319-0007,nzd0319-0008,nzd0319-0009,nzd0319-0010,nzd0319-0011,nzd0319-0012,nzd0319-0013,nzd0319-0014,nzd0319-0015,nzd0319-0016,nzd0319-0017,nzd0319-0018,nzd0319-0019,nzd0319-0020,nzd0319-0021,nzd0319-0022,nzd0319-0023,nzd0319-0024,nzd0319-0025,nzd0319-0026,nzd0319-0027,nzd0319-0028,nzd0319-0029,nzd0319-0030,nzd0319-0031,nzd0319-0032,nzd0319-0033,nzd0319-0034,nzd0319-0035,nzd0319-0036,nzd0319-0037,nzd0319-0038,satname
2023-08-19 22:18:59.606,497.0475,293.47,258.304,290.79842105263157,298.0659090909091,295.46772727272725,289.95478260869567,307.23333333333335,298.6745833333333,290.72521739130434,285.7765217391305,281.48304347826087,243.25428571428571,280.03909090909093,237.99050000000003,205.88842105263157,276.3959090909091,288.95181818181817,300.9268421052631,328.8545454545455,321.6616666666667,302.14,313.0222222222222,309.7915,313.4827272727273,323.4036363636364,346.21363636363634,355.17954545454546,347.43636363636364,339.36434782608694,306.5108333333333,298.0579166666667,298.27208333333334,291.74041666666665,261.42045454545456,355.69,322.6178947368421,296.3604347826087,297.63695652173914,L9
2023-08-20 22:12:59.423,497.0475,293.47,248.035,290.744,297.9878260869565,295.50739130434783,290.1816666666667,307.15840000000003,298.4756,290.53458333333333,285.63875,281.5275,243.96272727272728,280.18782608695653,238.2009523809524,206.85399999999998,276.1391304347826,288.84043478260867,300.946,329.8808695652174,322.4984,303.2468421052631,313.1847368421053,309.7652380952381,314.3147826086957,323.3786956521739,345.92826086956524,355.48739130434785,347.63565217391306,339.49708333333336,306.5108333333333,298.0579166666667,298.27208333333334,291.74041666666665,261.42045454545456,357.4708695652174,322.6178947368421,296.3604347826087,297.63695652173914,L8
2023-08-28 22:12:56.142,497.0475,293.47,248.035,290.74263157894734,298.77086956521737,295.97391304347826,292.10041666666666,308.48600000000005,299.8952,292.2404166666667,287.34875000000005,281.7547826086957,244.8957142857143,281.055,238.6915,206.85399999999998,277.10521739130434,289.48869565217393,300.85105263157897,332.04521739130433,324.6068,303.7625,314.80052631578945,311.43285714285713,314.87739130434784,324.3282608695652,346.884347826087,356.04739130434785,348.52608695652174,340.7970833333333,308.33375,298.84083333333336,298.9370833333333,292.455,262.6627272727273,358.79521739130433,324.399,297.73869565217393,297.96999999999997,L9
2023-09-12 22:19:14.051,502.5833333333333,290.9,238.108,289.5316666666667,297.62857142857143,296.5218181818182,292.6713043478261,307.9904347826087,299.8178260869565,292.68652173913046,288.07347826086954,282.5090909090909,246.20699999999997,282.15952380952376,239.41947368421054,207.60222222222222,277.7127272727273,289.8486363636364,300.9788888888889,333.27,325.0839130434782,302.8836842105263,316.1376470588235,311.59277777777777,315.45300000000003,324.99142857142857,348.2471428571429,357.15666666666664,349.57095238095235,340.9281818181818,308.27454545454543,298.35681818181814,298.9418181818182,292.4145454545455,262.9145,358.90772727272724,327.4888235294117,297.62619047619046,297.5647619047619,L8
2023-10-06 22:19:19.043,502.5833333333333,290.9,227.6875,288.70799999999997,297.50166666666667,295.03263157894736,293.81684210526316,308.85263157894735,301.74157894736845,293.98157894736846,289.32473684210527,282.9461111111111,246.86764705882354,282.06333333333333,240.15235294117645,210.15187500000002,278.68631578947367,289.6463157894737,299.96133333333336,337.60117647058826,329.19473684210527,302.3172222222222,315.869375,311.91812500000003,316.96117647058827,325.24052631578945,348.45157894736843,357.6363157894737,350.34263157894736,342.288947368421,312.94444444444446,299.0494444444445,300.5488888888889,294.95166666666665,263.3594117647059,361.0463157894737,332.71999999999997,298.5022222222222,297.31888888888886,L9
2023-10-15 22:13:14.958,502.5833333333333,290.9,227.6875,290.2,298.09,295.69,295.25684210526316,310.0036842105263,302.85473684210524,295.07842105263154,290.66999999999996,284.4611111111111,248.265,282.6935294117647,240.648125,210.94933333333336,280.7431578947369,291.7884210526316,301.1453333333333,338.0735294117647,329.95157894736843,303.0827777777778,316.51312499999995,312.3725,317.01235294117646,325.7631578947368,348.64894736842103,357.37947368421055,351.2389473684211,342.4878947368421,313.9838888888889,300.125,301.5338888888889,296.19888888888886,263.15000000000003,361.5968421052632,335.07,299.155,297.5611111111111,L9
2023-10-30 22:19:24.762,502.5833333333333,,224.67999999999998,289.4478571428571,293.55333333333334,293.2738888888889,293.72684210526313,308.3257894736842,301.5447368421053,293.6852631578947,289.37315789473683,282.9,246.55176470588236,279.79823529411766,239.83705882352942,209.94875000000002,278.9478947368421,290.8968421052632,301.028125,335.2323529411765,327.94789473684204,302.61058823529413,316.09666666666664,310.644375,315.37647058823535,324.02842105263164,346.4057894736842,356.0736842105263,349.82789473684215,339.2521052631579,311.24555555555554,298.0183333333333,299.86722222222227,294.0422222222222,261.3666666666667,358.28736842105263,330.018,297.40055555555557,295.47222222222223,L8
2023-10-31 22:13:09.706,502.5833333333333,,224.67999999999998,289.4478571428571,290.2263157894737,292.0878947368421,293.35249999999996,307.7,300.747,293.032,288.6995,282.1836842105263,245.3361111111111,278.7561111111111,239.215,211.42470588235295,278.197,290.538,300.85764705882355,333.8555555555556,326.652,302.0238888888889,315.156875,309.68294117647065,314.64777777777783,323.336,346.4057894736842,355.04449999999997,348.88300000000004,338.243,309.6578947368421,297.2463157894737,299.05315789473684,292.9547368421052,260.1421052631579,355.15549999999996,325.94062499999995,296.2052631578947,294.51421052631576,L9
2023-11-23 22:19:29.215,502.5833333333333,,224.67999999999998,289.25,285.05470588235295,289.9441176470588,293.6222222222222,307.16555555555556,300.2211111111111,292.13388888888886,287.74666666666667,280.79411764705884,243.826875,276.755,237.956875,213.55733333333333,276.18666666666667,290.51166666666666,300.92125,328.875,323.46944444444443,301.8306666666667,313.0592857142857,308.614,313.015625,322.0872222222222,345.92125,354.2270588235294,348.6952941176471,337.36470588235295,305.7464705882353,296.4741176470588,297.4576470588235,290.92411764705884,257.4382352941177,351.6277777777778,324.01199999999994,294.5229411764706,292.5547058823529,L9
2023-11-24 22:13:15.871,502.5833333333333,,224.67999999999998,289.25,282.02222222222224,289.00333333333333,293.33526315789476,306.5205263157895,299.54315789473685,291.56157894736845,287.42578947368423,280.5416666666667,243.33411764705883,275.8141176470588,237.51470588235293,214.72500000000002,275.38842105263154,289.9947368421052,300.9041176470588,327.8005882352941,322.26473684210526,301.099375,312.0113333333333,307.67,312.1617647058824,321.1942105263158,344.6523529411765,353.2877777777778,347.86833333333334,336.39166666666665,304.425,295.75277777777774,296.8366666666667,289.92611111111114,255.97833333333335,351.6277777777778,320.381875,293.37055555555554,291.63277777777773,L8
