dates,nzd0290-0000,nzd0290-0004,nzd0290-0005,nzd0290-0001,nzd0290-0002,nzd0290-0003
2021-11-18 21:59:46+00:00,269.94714285714286,313.82444444444445,320.7755555555556,286.37714285714287,283.3688888888889,306.7257142857143
2021-12-07 21:54:26+00:00,272.53625,313.957,320.06100000000004,285.96750000000003,282.83399999999995,308.385
2021-12-15 21:54:24+00:00,272.53625,313.957,320.06100000000004,285.96750000000003,280.67545454545456,307.3211111111111
2021-12-22 22:00:33+00:00,276.3666666666667,315.20181818181817,321.11454545454546,287.87333333333333,282.41499999999996,309.56399999999996
2021-12-23 21:54:21+00:00,278.95500000000004,316.22999999999996,322.63000000000005,289.218,283.4007692307692,311.4827272727273
2021-12-30 22:00:32+00:00,281.0981818181818,317.2053846153846,322.34769230769234,290.25454545454545,283.68285714285713,313.10999999999996
2021-12-31 21:54:19+00:00,283.2341666666667,318.0235714285714,323.64500000000004,291.22083333333336,284.6533333333333,314.31
2022-01-08 21:54:19+00:00,284.4838461538462,318.26142857142855,321.5171428571429,291.97333333333336,283.184,313.94615384615383
2022-02-16 22:00:26+00:00,292.025,321.34666666666664,322.50166666666667,294.3681818181818,286.6446153846154,318.975
2022-02-17 21:54:07+00:00,292.04538461538465,321.7992307692308,322.38384615384615,294.4725,287.1978571428571,320.07153846153847
2022-02-25 21:54:08+00:00,292.4138461538462,322.3807692307692,321.8892307692308,295.7141666666667,287.92285714285714,321.06714285714287
2022-03-05 21:54:04+00:00,295.3075,324.7625,323.4816666666667,295.7141666666667,287.8228571428571,325.48142857142864
2022-04-13 22:00:05+00:00,292.97636363636366,322.75545454545454,322.3881818181818,297.416,286.0546153846154,322.9853846153846
2022-04-14 21:53:55+00:00,289.785,320.9841666666667,320.65416666666664,297.416,284.8085714285714,321.80571428571426
2022-04-22 21:53:52+00:00,286.3123076923077,320.9841666666667,317.9692307692308,297.416,283.39599999999996,321.80571428571426
2022-04-29 22:00:01+00:00,283.8442857142857,318.8569230769231,316.5957142857143,297.416,282.139375,321.80571428571426
2022-04-30 21:53:48+00:00,283.7386666666667,319.645,317.92133333333334,297.1972727272727,283.4035294117647,321.85333333333335
2022-05-23 21:59:45+00:00,282.546,320.4057142857143,320.358,299.07727272727277,284.4535294117647,323.6413333333333
2022-05-24 21:54:00+00:00,280.05875,320.9433333333333,321.57937499999997,298.52333333333337,285.375,323.676875
2022-06-17 21:53:43+00:00,279.352,321.54333333333335,322.32937499999997,294.73083333333335,287.33647058823533,325.158
2022-07-02 22:00:29+00:00,270.15999999999997,318.24583333333334,318.97076923076924,284.2711111111111,284.255,321.7
2022-07-03 21:53:56+00:00,270.15999999999997,316.9761538461538,318.28785714285715,276.879,283.27000000000004,317.51
2022-08-03 22:00:42+00:00,267.28636363636366,316.7584615384615,319.64785714285716,276.887,284.224,317.2569230769231
2022-08-04 21:54:10+00:00,267.5441666666666,317.09642857142853,321.2126666666667,278.4672727272727,285.52875,317.685
2022-08-12 21:54:35+00:00,268.35076923076923,317.28866666666664,322.43375000000003,279.9191666666666,286.59529411764703,318.0073333333333
2022-08-20 21:54:17+00:00,264.9866666666667,315.6242857142857,322.364,277.43636363636364,285.271875,315.69571428571436
2022-09-12 22:00:31+00:00,262.69083333333333,314.2007142857143,321.236,275.47727272727275,285.47333333333336,314.5607692307692
2022-10-06 22:00:50+00:00,264.68384615384616,314.96666666666664,321.500625,277.43666666666667,286.943125,315.41285714285715
2022-10-22 22:00:51+00:00,272.83818181818185,317.8964285714286,327.6907142857143,279.52000000000004,292.86642857142857,318.6876923076924
2022-10-23 21:54:31+00:00,275.1225,318.40933333333334,327.0646666666667,280.8642857142857,293.75466666666665,319.6021428571429
2022-10-31 21:54:43+00:00,280.2409090909091,320.09928571428566,329.1142857142857,282.2371428571428,296.84857142857146,320.04571428571427
2022-11-07 22:00:52+00:00,282.4141666666667,320.502,328.65066666666667,283.69533333333334,297.57533333333333,320.8793333333333
2022-11-24 21:54:31+00:00,288.40363636363634,319.47357142857146,326.96,282.12714285714287,296.76000000000005,319.09857142857146
2022-12-01 22:00:39+00:00,291.0075,320.03799999999995,327.80466666666666,284.04133333333334,297.6686666666667,320.218
2023-01-19 21:54:22+00:00,291.8353846153846,322.5169230769231,330.13846153846157,299.15076923076924,302.83153846153846,326.8115384615385
2023-02-03 22:00:44+00:00,296.3641666666667,323.62583333333333,328.3475,300.575,303.49916666666667,327.5325
2023-02-04 21:54:26+00:00,296.84999999999997,324.29153846153844,328.63000000000005,301.31230769230774,303.83307692307693,328.20076923076925
2023-02-19 22:00:37+00:00,299.3725,324.45416666666665,328.3908333333333,301.965,303.7441666666667,329.0125
2023-02-20 21:54:13+00:00,298.5507692307692,323.27230769230766,328.0969230769231,300.51,301.3561538461538,327.83
2023-03-07 22:00:25+00:00,298.5507692307692,323.27230769230766,325.55285714285714,300.51,301.3561538461538,327.83
2023-03-08 21:54:02+00:00,297.75357142857143,323.15785714285715,325.55285714285714,300.0878571428571,300.86571428571426,328.4371428571429
2023-03-15 22:00:12+00:00,297.1707142857143,324.56,324.2757142857143,301.7507692307692,302.6946153846154,329.75461538461536
2023-03-23 22:00:19+00:00,295.1086666666667,322.4271428571428,323.2,299.7314285714286,300.2292857142857,329.75461538461536
2023-03-24 21:53:54+00:00,294.264375,321.9953333333333,324.249375,299.6306666666667,300.49666666666667,329.72357142857146
2023-04-24 22:00:04+00:00,290.9628571428571,319.46384615384613,323.15214285714285,299.38416666666666,296.02846153846156,329.7509090909091
2023-05-11 21:53:22+00:00,281.81538461538463,316.4316666666667,321.31230769230774,297.427,291.3141666666667,329.5533333333334
2023-06-12 21:53:31+00:00,266.1608333333333,315.2054545454546,320.3541666666667,294.82,289.8536363636363,327.185
2023-06-27 21:59:38+00:00,258.35,316.36083333333335,322.02230769230766,295.22,291.7391666666667,326.87111111111113
2023-07-05 21:59:54+00:00,250.71642857142857,316.8976923076923,322.77714285714285,294.0436363636364,291.9223076923077,326.869
