dates,nzd0197-0000,nzd0197-0001,nzd0197-0002,nzd0197-0003,nzd0197-0004,nzd0197-0005,nzd0197-0006,nzd0197-0007,nzd0197-0008,nzd0197-0009,nzd0197-0010,nzd0197-0011,nzd0197-0012,nzd0197-0013,nzd0197-0014,nzd0197-0015,nzd0197-0016,nzd0197-0017,nzd0197-0018,nzd0197-0019,nzd0197-0020,nzd0197-0021,nzd0197-0022,nzd0197-0023,nzd0197-0024,nzd0197-0025,nzd0197-0026,nzd0197-0027,nzd0197-0028,nzd0197-0029,nzd0197-0030,nzd0197-0031,nzd0197-0032,nzd0197-0033,nzd0197-0034,nzd0197-0035,nzd0197-0036,nzd0197-0037,nzd0197-0038,nzd0197-0039,nzd0197-0040,nzd0197-0041
2016-01-23 21:59:56+00:00,310.405,260.935,204.995,228.78999999999996,307.48,251.96,247.82999999999998,273.79,247.79000000000002,239.67666666666665,226.59,232.7,248.07999999999998,258.93,250.78,164.94,267.572,265.632,267.414,273.298,266.128,263.83599999999996,264.39,243.584,229.88199999999998,254.04,282.178,289.544,288.40000000000003,277.0925,264.925,268.836,288.70799999999997,238.23333333333335,307.488,294.6875,282.25,261.26,266.18,270.5375,268.21999999999997,272.8059999999999
2016-02-24 21:59:45+00:00,310.405,255.06999999999996,203.45999999999998,218.60000000000002,286.93,241.88,236.7,287.44,254.02,243.92499999999998,225.23,229.845,248.39000000000001,263.92999999999995,277.495,,265.9775,264.1525,267.0925,272.8475,264.965,262.87,263.68,248.9125,235.7275,252.3,287.91249999999997,289.04249999999996,292.61,277.0975,274.96333333333337,271.6175,289.1825,236.22,314.3625,289.2975,282.815,281.1225,274.88,260.09666666666664,269.84000000000003,273.8975
2016-03-02 22:05:55+00:00,310.74,254.04666666666662,201.92,214.025,290.49333333333334,243.14999999999998,230.29999999999998,274.14,244.185,243.92499999999998,224.31,226.53749999999997,250.9,263.92999999999995,277.495,,265.6625,262.7225,266.19,272.0475,264.4375,261.58,262.9475,247.3075,234.07999999999998,250.47750000000002,287.09499999999997,289.4475,287.03333333333336,277.00250000000005,273.08000000000004,271.40500000000003,289.33,232.49,313.8025,295.52,276.2175,271.96500000000003,280.32,249.0325,269.58750000000003,273.9625
2016-03-11 21:59:42+00:00,296.8433333333333,250.21749999999997,203.54,213.63666666666668,292.605,242.77999999999997,225.665,274.14,235.26,240.14333333333335,222.7,224.52399999999997,249.12399999999997,258.16666666666663,277.495,,264.014,261.22200000000004,265.18199999999996,270.552,263.19,259.988,261.61,245.084,233.016,249.20999999999998,286.078,288.222,267.58750000000003,277.00250000000005,267.32800000000003,269.168,287.966,232.37,311.67600000000004,295.448,276.2175,265.482,280.32,242.24,267.846,272.81800000000004
2016-05-21 22:05:38+00:00,299.105,251.196,204.225,220.76,294.9,245.33499999999998,221.302,269.2775,236.7625,238.6625,222.61333333333334,225.00166666666667,248.89,257.04749999999996,270.7266666666667,,264.65500000000003,261.9916666666667,259.18666666666667,265.48833333333334,256.80833333333334,260.52833333333336,262.1933333333333,245.57500000000002,233.42166666666665,249.45000000000002,285.9316666666667,287.8383333333333,256.034,275.81000000000006,267.745,269.035,287.4583333333333,234.5675,311.09,295.67833333333334,278.072,266.86833333333334,276.155,242.24,267.0466666666667,272.4316666666667
2016-07-01 21:59:42+00:00,300.82,252.49499999999998,204.724,232.382,296.705,247.894,219.915,255.5025,237.656,231.85,220.04166666666666,222.79999999999998,246.56500000000003,253.42,265.01000000000005,,262.1083333333333,260.1416666666667,258.25166666666667,264.17833333333334,255.33833333333334,259.14166666666665,260.9116666666667,242.83500000000004,230.754,247.28166666666667,284.63166666666666,285.1166666666666,236.942,273.004,263.3833333333333,265.47499999999997,285.205,234.5675,308.78333333333336,293.38000000000005,275.592,254.53166666666667,271.5825,237.03000000000003,265.082,270.80600000000004
2016-07-17 21:59:49+00:00,300.82,244.98857142857142,204.80499999999998,232.48666666666668,295.98857142857145,247.894,219.915,253.744,239.0583333333333,232.28400000000002,220.16714285714286,217.51857142857142,246.58285714285716,253.42,265.01000000000005,,257.88,260.34714285714284,259.4942857142857,265.25142857142856,256.7542857142857,259.5342857142857,261.3085714285714,242.65857142857143,231.47666666666666,247.7757142857143,284.84285714285716,284.49857142857144,236.942,272.79833333333335,263.25142857142856,265.3671428571429,284.9442857142857,233.01,308.78333333333336,293.5014285714286,276.93833333333333,254.53166666666667,271.5825,237.03000000000003,265.082,270.80600000000004
2016-07-24 22:06:01+00:00,295.54249999999996,240.06499999999997,205.1542857142857,232.66428571428574,293.4628571428571,247.894,213.06,249.45999999999998,237.875,230.66199999999998,218.55428571428573,215.56285714285715,244.9157142857143,250.63333333333333,257.19,,255.31166666666664,258.1957142857143,258.69,260.76714285714286,256.3171428571428,259.00428571428574,260.90285714285716,242.17142857142858,230.42,246.90714285714284,284.0628571428571,283.06,223.97500000000002,271.31000000000006,260.4816666666666,262.11285714285714,283.43857142857144,232.80499999999998,306.21000000000004,291.1983333333333,274.83,245.48666666666668,267.4733333333333,226.5825,261.62250000000006,268.95750000000004
2016-08-18 21:59:57+00:00,295.54249999999996,240.06499999999997,205.47875,234.2175,293.615,247.89666666666665,217.725,249.345,237.50571428571428,231.0716666666667,218.44250000000002,216.80374999999998,244.80625,250.63333333333333,257.19,,255.31166666666664,257.99625000000003,258.69,257.975,252.05124999999998,255.50375000000003,260.90285714285716,237.8525,225.74857142857144,246.90714285714284,280.38375,282.48125,220.446,271.31000000000006,260.4816666666666,261.42625,283.42375,232.54999999999998,305.84000000000003,288.49857142857144,275.9957142857143,249.1257142857143,267.4733333333333,234.214,260.76200000000006,269.054
2016-09-10 22:06:15+00:00,304.38000000000005,237.82999999999998,205.92,242.1783333333333,297.39166666666665,253.01333333333332,219.29333333333332,244.85500000000002,241.39,230.61,219.58833333333334,217.17999999999998,245.30666666666664,252.63,257.19,,254.6533333333333,259.0683333333333,258.28600000000006,255.78333333333333,250.59,256.47666666666663,263.226,238.71833333333333,225.496,250.5125,280.5016666666667,282.286,205.69999999999996,271.19,259.10999999999996,262.18666666666667,283.3283333333333,232.38199999999998,305.48,289.87800000000004,282.4,253.01,265.03999999999996,258.60999999999996,259.0833333333333,269.1166666666667
