dates,satname,nzd0005-0000,nzd0005-0001,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,nzd0005-0005,nzd0005-0015,nzd0005-0016,nzd0005-0017,nzd0005-0029,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0009,nzd0005-0010,nzd0005-0011
2019-02-05 22:17:21.574000,L8,,,,,,,,,,,,,,,,,,,,,229.36,219.87,221.72,233.87,244.40,215.07,251.32,262.00,276.78,287.77,285.22,,,,,,,,,,,
2019-03-25 22:17:09.739000,L8,,,267.22,265.57,248.24,,,,,,,,,,,,,,,,236.58,222.77,226.95,236.48,244.34,216.37,251.37,260.06,274.33,289.60,284.37,,,,,,,,,,,
2019-04-26 22:16:59.330000,L8,,,269.86,255.72,250.96,,,,288.37,288.15,286.38,260.27,266.47,209.68,,,,,,240.07,242.32,221.53,228.58,234.05,237.50,213.83,249.45,258.47,275.46,278.63,272.11,261.26,263.42,273.85,276.73,222.11,266.78,261.52,262.76,,,
2019-05-12 22:17:08.680000,L8,,,,,,,,,,,,,,,,,,,,,,,,200.31,232.50,210.97,240.40,250.93,,,,,,,,,,,,,,
2019-05-28 22:17:17.913000,L8,,,268.31,246.88,262.13,,,,,255.92,274.36,252.49,261.01,247.31,,,,,,,240.81,233.38,232.88,236.07,245.47,222.62,253.51,258.51,282.92,286.63,283.26,255.67,,,,,,,,,,
2019-07-15 22:17:32.572000,L8,,,,,,,,,,,,,,,,,,,,,,216.65,217.04,228.96,235.57,214.88,242.46,240.12,,,,,,,,,,,,,,
2019-10-03 22:17:57.660000,L8,,,272.69,325.03,254.11,,,,213.16,266.38,275.19,265.74,266.42,260.38,239.93,256.41,266.09,262.07,249.43,235.93,242.52,237.95,229.31,242.98,246.77,219.82,255.04,263.36,273.90,291.98,285.46,267.50,,,193.64,229.21,257.97,264.42,262.61,,,
2019-11-04 22:17:58.697000,L8,298.11,264.06,275.85,320.56,260.41,,,,271.22,284.30,287.00,279.10,270.79,268.28,266.59,270.34,272.74,268.05,253.52,245.74,247.64,242.14,229.86,246.91,250.91,217.07,257.52,264.07,278.43,292.27,290.96,270.23,,176.65,205.47,237.50,267.87,267.71,267.26,,,
2019-11-20 22:17:54.950000,L8,,,273.43,310.68,252.93,,,,209.61,274.17,283.77,272.93,268.04,260.01,205.34,234.88,266.30,265.30,250.91,237.70,244.96,239.31,222.42,241.48,246.32,218.23,252.41,261.77,273.39,,208.24,268.20,,,191.20,228.77,263.42,264.86,265.60,,,
2019-12-06 22:17:54.623000,L8,,,,,,,,,209.30,278.01,281.62,252.77,265.25,,,,,,,,182.43,236.36,230.82,242.51,244.66,217.17,255.97,264.17,275.19,291.99,286.43,,,,,,,,,,,
2019-12-22 22:17:51.823000,L8,,,,,,,,,200.31,273.47,245.66,,265.14,254.97,,,,,249.80,213.96,240.36,235.17,225.66,235.07,244.31,216.29,254.95,262.43,278.67,290.43,287.98,,,,,228.07,265.43,262.07,262.01,,,
2020-01-07 22:17:47.735000,L8,,,,,,,,,,,,,,,,,,,,,231.43,226.16,219.14,234.88,241.78,212.03,252.38,258.45,271.59,285.71,280.84,,,,,,,,,,,
2020-01-23 22:17:43.927000,L8,,,,,,,,,,,,,,,,,,,,,230.19,223.82,219.55,233.99,240.48,212.28,236.20,255.92,268.00,,,,,,,,,,,,,
2020-02-08 22:17:38.924000,L8,,,,,,,,,,,,,,,,,,,,,232.87,223.46,219.61,234.19,243.16,215.98,249.12,260.84,273.47,285.97,282.08,,,,,,,,,,,
2020-02-24 22:17:35.189000,L8,,,,303.18,244.86,,,,,248.11,279.24,255.28,268.65,255.30,,,,,,,236.31,218.43,208.74,235.72,247.13,218.63,251.43,262.91,274.71,287.64,287.36,,,,,,,,,,,
2020-03-11 22:17:28.877000,L8,,,,,,,,,,,,,,,,,,,,,,214.82,215.15,228.64,196.63,,,,,,,,,,,,,,,,,
2020-03-27 22:17:20.128000,L8,,,,256.02,246.36,,,,,,,,,,,,,,,,225.16,214.83,217.80,234.12,242.23,217.81,247.83,258.48,268.34,284.85,282.90,,,,,,,,,,,
2020-08-18 22:17:38.586000,L8,295.84,270.28,,,,,,,236.62,276.77,280.08,276.50,267.76,264.15,261.95,264.26,267.77,259.90,249.26,234.21,245.10,235.68,231.98,240.57,245.07,222.81,256.35,261.49,281.99,291.68,288.11,,,,194.27,226.73,232.38,267.39,262.92,,,
2020-09-03 22:17:46.393000,L8,296.61,269.99,273.04,308.81,262.21,286.90,283.26,261.14,277.63,282.08,281.53,277.22,271.33,270.61,270.35,270.93,272.83,268.81,256.12,248.47,246.67,240.50,234.92,244.50,248.91,227.93,257.81,263.57,280.10,289.01,320.35,263.37,245.76,244.93,263.91,239.14,265.22,263.63,261.77,,,
