dates,nzd0005-0000,nzd0005-0001,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0017,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0029,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,nzd0005-0015,nzd0005-0016,nzd0005-0005,nzd0005-0011,nzd0005-0009,nzd0005-0010,satname
2019-12-06 22:17:54+00:00,297.93000000000006,267.53999999999996,264.1133333333333,265.02,264.1233333333334,272.15333333333336,308.17666666666673,262.47999999999996,,,251.35,200.46,243.72333333333333,280.12,282.55333333333334,273.9166666666667,268.8033333333333,264.45,256.90000000000003,259.0566666666667,265.87333333333333,263.31333333333333,250.2733333333333,232.74,231.85,245.705,235.41000000000003,225.175,240.61249999999998,249.36,213.185,253.56333333333336,259.405,272.95500000000004,286.34000000000003,280.47,240.94,,265.95666666666665,,,,L8
2020-01-07 22:17:47+00:00,297.93000000000006,267.53999999999996,264.1133333333333,265.02,264.1233333333334,272.15333333333336,308.17666666666673,262.47999999999996,,,251.35,200.46,243.72333333333333,280.12,282.55333333333334,273.9166666666667,268.8033333333333,264.45,256.90000000000003,259.0566666666667,265.87333333333333,263.31333333333333,250.2733333333333,232.74,231.85,240.63333333333333,233.392,223.808,239.37199999999999,246.71,212.68666666666664,253.12250000000003,258.91,272.37,285.98,280.31333333333333,240.94,,265.95666666666665,,,,L8
2020-02-08 22:17:38+00:00,298.63,264.95,263.91999999999996,266.59999999999997,265.44500000000005,274.66,323.73500000000007,259.1049999999999,,,251.35,202.575,244.12,277.375,282.385,274.315,269.4749999999999,265.27,258.9,264.90500000000003,270.475,265.975,252.16999999999996,234.695,,238.6925,230.766,220.87800000000001,238.01799999999997,245.8225,213.51,252.32200000000003,259.3925,272.645,285.9775,280.755,240.94,,269.54499999999996,,,,L8
2020-02-24 22:17:35+00:00,298.63,264.95,263.91999999999996,266.59999999999997,265.44500000000005,274.66,317.0833333333333,254.63666666666663,,,251.35,202.575,244.12,268.53333333333336,282.11999999999995,271.33,269.57666666666665,262.98,258.9,264.90500000000003,270.475,265.975,252.16999999999996,234.695,,238.496,228.835,219.04166666666666,237.73833333333332,246.19400000000002,214.686,252.285,260.19,273.132,286.39,282.23400000000004,240.94,,269.54499999999996,,,,L8
2020-03-27 22:17:20+00:00,298.63,264.95,263.91999999999996,266.59999999999997,265.44500000000005,274.66,317.0833333333333,252.91249999999997,,,251.35,202.575,244.12,268.53333333333336,282.11999999999995,271.33,269.57666666666665,262.98,258.9,264.90500000000003,270.475,265.975,252.16999999999996,234.695,,238.496,228.835,219.04166666666666,237.73833333333332,246.19400000000002,214.686,252.285,260.19,273.132,286.39,282.23400000000004,240.94,,269.54499999999996,,,,L8
2020-08-18 22:17:38+00:00,296.21,271.49,267.78,267.99,,,303.78,246.71999999999997,,,,196.78,258.85,265.39,281.61,271.625,269.095,261.73,264.53,265.74,268.67,260.75,250.26,227.53,,237.71,227.78,221.21,238.72500000000002,246.60000000000002,221.32999999999998,254.51,262.645,278.77,290.105,288.505,,,,,,,L8
2020-09-03 22:17:46+00:00,296.63,271.175,266.69,266.065,262.23,273.72,309.4,255.56,289.37,286.8,265.42,196.78,269.44,281.69499999999994,282.16999999999996,278.135,270.3,268.21000000000004,268.12,268.88,271.135,265.115,253.585,234.88,249.2,247.27,238.985,234.0,243.115,247.495,226.435,257.73,263.14,281.655,290.86,309.235,249.26,255.48,264.0,,,,L8
2020-09-19 22:17:52+00:00,297.26,268.43333333333334,256.1066666666666,267.68333333333334,262.485,272.29,309.42499999999995,259.1033333333333,289.37,286.8,265.42,201.18,270.37666666666667,276.63333333333327,280.76666666666665,279.0833333333333,270.78333333333336,267.25666666666666,265.9633333333333,268.45666666666665,270.42,265.82,252.83333333333334,233.34666666666666,246.85,245.845,237.72333333333333,233.26333333333332,242.65333333333334,247.26666666666665,225.15333333333334,255.34666666666666,262.01,278.69666666666666,292.4433333333333,303.0566666666667,249.26,255.48,262.47,,,,L8
2021-03-14 22:17:26+00:00,298.52,262.95,234.94,270.92,262.74,268.37,293.955,259.75,,,266.5,200.18,272.25,277.435,282.95,276.95500000000004,271.935,267.435,264.725,269.1,268.99,267.23,251.33,230.28,244.5,244.42,235.2,231.79,241.73,246.81,222.59,250.58,259.75,272.78,295.61,290.7,257.64,284.94,259.815,,,,L8
2021-03-30 22:17:22+00:00,,,,,,265.88,278.46,253.31,,,266.5,194.78,,288.36,287.94,272.93,272.12,269.52,267.8,270.59,,,,,,228.13,220.73,222.87,232.97,240.59,214.82,249.83,258.44,270.23,286.33,280.97,257.64,284.94,258.69,,,,L8
