dates,satname,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045
2006-02-21 21:44:44.561000,L5,316.19,337.90,331.86,341.12,335.86,338.32,334.75,339.14,335.15,329.79,335.37,344.81,356.19,345.75,336.07,329.40,316.45,317.09,304.12,317.56,319.11,329.42,332.99,333.38,328.96,339.05,330.43,324.85,310.83,337.70,328.09,314.97,316.23,337.65,342.16,352.78,359.67,365.65,349.10,351.96,351.30,353.12,367.20,360.62,360.94,368.05
2006-03-09 21:45:04.554000,L5,420.75,334.47,340.04,338.58,344.56,339.02,333.28,340.50,328.19,330.15,328.85,342.60,350.54,347.62,330.08,324.94,314.97,314.68,300.76,315.77,322.12,329.76,337.68,332.10,335.70,342.40,328.06,327.50,312.38,337.37,326.78,310.07,315.62,335.26,336.56,349.09,355.64,352.73,347.43,356.65,349.61,354.15,373.74,377.70,367.17,365.17
2006-04-10 21:45:40.863000,L5,,,,294.29,341.24,222.12,330.19,340.79,327.69,323.16,324.92,341.94,351.30,350.04,334.42,325.85,316.75,313.57,301.24,311.55,316.99,319.76,329.81,324.90,327.96,336.56,327.95,322.53,309.18,340.86,329.61,318.21,317.75,336.87,336.00,351.80,359.56,355.92,346.20,343.02,340.62,343.29,369.32,361.08,368.29,372.30
2006-04-26 21:45:56.580000,L5,512.90,486.73,460.12,452.32,493.18,463.06,181.87,333.49,329.33,324.36,332.79,343.68,354.25,347.00,334.79,329.29,316.76,318.72,304.72,317.99,319.09,327.85,334.51,333.28,331.64,334.65,327.97,324.33,309.30,340.25,329.24,317.95,317.29,339.98,343.03,355.88,365.18,361.69,347.17,348.06,340.03,352.00,372.17,365.75,363.52,373.93
2006-05-12 21:46:09.770000,L5,,,,,,,,,318.28,,302.62,331.67,348.29,343.68,327.12,322.95,305.65,305.87,291.35,312.96,317.91,321.08,332.69,328.36,330.28,336.42,324.99,323.85,312.92,341.19,330.12,316.78,312.47,333.61,344.05,353.22,360.72,363.22,348.89,340.28,339.44,347.80,369.64,364.46,356.07,372.86
2006-06-13 21:46:37.602000,L5,,,,,,,,,,,,,,,,294.92,286.74,273.28,205.14,284.26,290.39,290.59,308.78,308.13,303.23,254.05,296.98,286.39,,,,,,306.42,317.97,330.79,335.31,331.88,303.74,,286.51,296.52,347.89,339.61,332.88,344.52
2006-09-01 21:47:43.231000,L5,310.14,353.67,332.95,377.02,378.80,376.85,370.49,378.57,366.97,365.49,358.10,385.03,390.20,391.83,378.01,363.43,355.68,366.05,362.00,364.54,379.59,371.22,371.43,372.49,371.70,372.05,355.08,354.14,348.76,376.33,377.50,356.99,350.79,371.72,379.82,402.29,407.27,403.71,398.40,388.27,371.90,370.84,378.32,373.71,372.26,385.85
2006-09-17 21:47:54.852000,L5,523.93,494.46,416.43,530.39,473.36,337.99,335.39,340.57,334.20,330.37,335.45,350.69,363.70,354.73,340.27,331.29,323.35,322.29,316.58,323.75,325.51,328.04,333.06,334.34,333.84,338.08,330.99,327.13,311.59,342.90,337.54,321.54,319.47,344.85,350.89,364.14,371.48,367.43,355.62,347.95,338.50,348.66,367.21,361.58,358.43,364.51
2006-12-06 21:48:41.029000,L5,357.89,359.12,367.26,380.22,375.76,380.65,381.36,376.50,367.86,357.45,349.55,367.61,365.37,361.67,353.40,333.39,322.25,320.92,327.32,326.94,322.66,323.76,327.47,329.56,330.15,344.05,355.41,349.07,340.89,355.93,354.54,325.06,320.36,343.05,325.49,342.21,348.59,349.47,351.82,346.59,337.39,331.07,347.68,344.39,340.51,354.94
2011-01-02 21:43:59.020000,L5,470.23,446.74,341.39,340.19,342.59,334.31,331.69,337.16,329.38,334.05,335.74,350.01,352.82,348.36,337.63,325.30,315.18,316.76,307.63,318.90,323.49,333.02,336.56,334.79,323.75,328.97,324.77,320.82,307.97,330.52,325.21,311.20,311.88,332.88,338.59,349.32,361.07,358.51,342.30,356.51,353.28,353.95,361.26,356.16,363.63,366.93
2013-04-29 21:55:51.104000,L8,,,,207.60,235.74,240.95,224.59,321.59,323.37,323.49,320.95,335.31,343.00,333.72,320.64,311.73,298.96,308.06,295.08,303.85,305.52,308.44,319.96,313.89,319.84,322.60,315.57,317.11,300.64,329.92,319.69,306.09,304.81,325.28,331.70,339.71,346.71,337.00,334.05,322.82,321.56,330.38,350.84,341.29,341.22,354.73
2013-05-31 21:56:07.688000,L8,,,,,,185.54,181.52,241.40,347.80,278.33,,,366.90,369.21,355.90,350.47,343.94,324.72,310.27,364.08,370.52,348.19,372.66,376.82,365.08,363.34,330.42,332.01,371.37,377.04,355.21,320.56,318.42,339.02,368.87,369.95,370.26,374.69,371.59,368.77,330.68,376.19,396.74,367.73,364.14,381.65
