dates,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045
2004-07-25 21:36:37+00:00,,,,,,,,355.96,351.74,356.12,356.16,,382.96,369.82,360.2,346.27666666666664,352.1233333333333,351.68333333333334,351.56333333333333,350.485,354.72,362.37,354.33,364.28499999999997,,365.73,352.91499999999996,351.96500000000003,339.22,,356.21000000000004,342.9,341.25,,,,,,,,,,,,,
2004-08-10 21:36:56+00:00,,,,,,,,355.96,346.72,348.81333333333333,344.93,350.82,375.18666666666667,367.1875,354.5,342.3875,344.8675,344.4325,351.56333333333333,341.20666666666665,345.2966666666666,345.33000000000004,346.31,353.3833333333334,332.38,351.86,346.15000000000003,344.2133333333333,331.4866666666667,346.54,350.42,332.54499999999996,330.935,347.73,355.35,,,,,348.31,339.77,,,,,
2004-10-13 21:38:32+00:00,,,,,,,,355.96,346.72,348.81333333333333,344.93,350.82,375.18666666666667,367.1875,342.65999999999997,331.398,331.904,344.4325,351.56333333333333,341.20666666666665,345.2966666666666,345.33000000000004,329.73,340.875,309.96500000000003,351.86,346.15000000000003,344.2133333333333,316.3225,325.425,350.42,315.2833333333333,330.935,347.73,355.35,,314.28,320.77,,348.31,322.62,303.57,346.32,340.53,337.17,340.9
2005-02-18 21:40:42+00:00,334.53,333.33,339.07,336.68,341.82,332.21,330.35,335.43,330.35,326.11,331.45,341.95,347.94,343.51,311.97,305.28999999999996,296.385,307.84,,303.65,310.23,320.92,312.555,314.785,306.345,332.63,322.73,321.31,289.05499999999995,322.49,323.1,293.18,307.13,329.89,326.34,342.51,330.945,335.77,335.83,341.82,325.96500000000003,325.96500000000003,346.32,340.53,337.17,340.9
2005-05-09 21:41:19+00:00,334.53,333.33,339.07,336.68,341.82,332.21,330.35,342.58500000000004,337.425,335.40999999999997,337.07,350.18,357.79499999999996,357.055,344.83,335.01,328.615,324.945,341.51,325.245,331.32000000000005,336.15,328.54,326.22,325.14,332.63,322.73,321.31,307.28,340.67,323.1,305.6,307.13,329.89,326.34,342.51,347.61,350.77,335.83,341.82,346.46,348.36,,,,
2005-06-10 21:41:36+00:00,334.53,333.33,339.07,336.68,341.82,332.21,330.35,342.58500000000004,337.425,331.2833333333333,337.07,350.18,354.5833333333333,359.5466666666666,347.06666666666666,336.8066666666667,328.7766666666667,330.3066666666667,339.065,330.2333333333333,341.1666666666667,342.8766666666667,340.08500000000004,337.235,325.14,344.33,335.99,337.225,326.885,340.67,340.265,320.08500000000004,322.66499999999996,345.12,344.42499999999995,342.51,347.61,350.77,335.83,341.82,346.46,348.36,,,,
2005-06-26 21:41:40+00:00,334.53,333.33,339.07,336.68,341.82,332.21,330.35,342.58500000000004,337.425,331.2833333333333,337.07,350.18,351.55,356.765,345.4075,334.945,329.32500000000005,330.5625,334.75333333333333,330.8975,340.15000000000003,343.68,341.77,338.22333333333336,333.765,343.58,336.1366666666667,338.23,325.98333333333335,350.18,341.80333333333334,322.1433333333334,326.1666666666667,348.1366666666667,344.42499999999995,342.51,347.61,350.77,335.83,341.82,346.46,348.36,,,,
2005-07-12 21:41:47+00:00,334.53,333.33,339.07,336.68,341.82,332.21,330.35,342.58500000000004,337.425,331.2833333333333,337.07,350.18,351.55,356.765,344.578,334.012,329.32500000000005,330.5625,330.7975,330.23999999999995,338.422,343.68,341.77,338.22333333333336,333.765,343.58,336.1366666666667,338.23,325.98333333333335,350.18,341.80333333333334,322.1433333333334,326.1666666666667,347.8725,344.42499999999995,342.51,347.61,350.77,335.83,341.82,346.46,348.36,,,,
2005-08-13 21:42:05+00:00,334.53,333.33,339.07,336.68,341.82,332.21,330.35,334.74333333333334,331.40000000000003,326.01,330.7266666666667,345.60999999999996,350.616,353.544,341.24,331.1133333333333,325.776,326.402,324.802,326.94666666666666,333.79833333333335,337.332,336.59000000000003,333.4625,328.51,338.0275,331.23,331.6275,317.9125,344.39000000000004,337.96500000000003,319.7375,322.3925,344.902,343.43666666666667,347.1,353.45000000000005,350.77,335.72,333.655,335.90999999999997,338.71500000000003,,,,
2005-08-29 21:42:10+00:00,,,,,,,,324.4533333333333,331.925,315.15999999999997,330.365,347.43999999999994,351.28499999999997,349.62600000000003,337.86833333333334,326.88166666666666,321.596,321.982,316.965,325.4916666666666,331.82666666666665,333.572,333.43,330.5525,323.7866666666667,332.2675,326.2425,323.485,309.1275,333.99666666666667,330.56500000000005,315.135,313.9625,340.234,338.04,336.3,347.63,333.66499999999996,323.28,315.61,320.885,323.52,,,,334.21
2006-02-21 21:44:44+00:00,,359.74,361.21,360.6,359.21,360.27,357.95,333.26,361.15,321.98,362.37,,384.06,352.045,337.35,332.34000000000003,291.82,285.74,277.78,294.92,298.4,302.12,315.9,314.58,310.97,309.59,302.78,288.74,272.14,309.49,293.5,287.19,311.905,338.645,310.15,320.91,335.97,316.56,310.95,305.73,316.41,317.97,,,,334.21
2006-04-10 21:45:40+00:00,,359.74,361.21,360.6,350.75,360.27,344.53499999999997,351.82,344.875,342.855,344.09000000000003,342.83,368.24,365.70500000000004,350.915,346.935,317.82,314.9,302.49,312.73,318.08,320.72,331.01,325.87,329.06,337.81,329.14,323.75,310.38,342.02,330.88,319.52,334.575,354.35,337.29,353.02,,357.02,348.63,344.38,342.32,344.97,,,,
2006-04-26 21:45:56+00:00,,359.74,361.21,360.6,350.75,360.27,344.53499999999997,345.71000000000004,339.6933333333333,336.69,340.3233333333333,343.255,363.57666666666665,359.47,345.54,341.05333333333334,317.28999999999996,316.81,303.605,315.36,318.585,324.285,332.76,329.575,330.35,336.23,328.555,324.03999999999996,309.84000000000003,341.135,330.06,318.735,328.81333333333333,349.56,340.15999999999997,353.02,,357.02,347.9,346.22,341.17499999999995,344.97,,,,
2006-05-12 21:46:09+00:00,,359.74,361.21,360.6,350.75,360.27,344.53499999999997,345.71000000000004,334.34,336.69,330.89750000000004,339.3933333333334,359.755,355.52250000000004,340.935,336.52750000000003,313.41,313.16333333333336,299.52000000000004,314.56,318.35999999999996,323.2166666666667,332.7366666666667,329.17,330.32666666666665,336.29333333333335,327.3666666666667,323.9766666666667,310.8666666666667,341.15333333333336,330.08,318.0833333333333,324.7275,345.5725,341.45666666666665,353.02,,357.02,348.23,344.24,340.59666666666664,346.385,,,,
2006-06-13 21:46:37+00:00,,359.74,361.21,360.6,350.75,360.27,344.53499999999997,345.71000000000004,335.802,329.94,330.89750000000004,339.3933333333334,360.498,355.71400000000006,343.102,336.796,317.63,318.935,306.9125,314.56,323.0325,323.2166666666667,332.7366666666667,329.17,330.32666666666665,336.29333333333335,327.3666666666667,323.9766666666667,310.8666666666667,341.15333333333336,333.505,318.0833333333333,324.7275,345.5725,341.45666666666665,353.02,,357.02,348.23,344.24,340.59666666666664,346.385,,,,
2006-09-01 21:47:43+00:00,,,,373.98,359.105,373.07,349.485,350.1499999999999,336.44,330.265,329.255,349.92,354.6075,349.6,337.305,334.956,317.63,318.935,306.9125,314.56,323.0325,323.2166666666667,332.7366666666667,329.17,330.32666666666665,336.29333333333335,327.3666666666667,323.9766666666667,310.8666666666667,341.15333333333336,333.505,318.0833333333333,316.17,337.18333333333334,341.45666666666665,353.02,,357.02,348.23,344.24,340.59666666666664,346.385,,,,
2006-09-17 21:47:54+00:00,,,,373.98,359.105,355.53,344.7866666666667,347.755,336.06666666666666,330.286,330.494,350.07399999999996,356.42600000000004,350.62600000000003,337.898,334.34499999999997,318.774,319.606,308.846,316.8575,323.52799999999996,324.4225,332.8175,330.4625,331.205,336.74,328.27250000000004,324.765,311.0475,341.59,334.312,318.9475,316.995,337.18333333333334,341.45666666666665,353.02,,362.225,350.0775,345.1675,340.0725,346.385,,,,
2006-12-06 21:48:41+00:00,,,,373.98,376.505,355.53,351.62000000000006,364.5333333333333,352.2625,340.2375,347.25,367.05999999999995,364.55333333333334,355.6050000000001,346.02,340.32,325.6466666666667,326.92,322.835,326.065,328.96000000000004,326.61,333.06,334.34,332.6,338.08,330.99,327.13,311.59,342.9,340.65999999999997,324.23,319.47,,326.4,343.56,,359.21000000000004,355.62,347.95,338.5,,,,,
2011-01-02 21:43:59+00:00,,,341.39,340.19,342.59,334.31,331.69,337.16,329.38,334.05,335.74,350.01,352.82,348.36,337.63,325.3,315.18,316.76,307.63,318.9,323.49,333.02,336.56,334.79,323.75,328.97,324.77,320.82,307.97,330.52,325.21,311.2,311.88,332.88,338.59,349.32,,,342.3,,,,,,,
2013-04-29 21:55:51+00:00,,,,,,,,320.88,322.89,,,,,,319.46,311.05,298.47,307.34,294.46,303.27,305.07,307.8,319.42,313.4,319.22,322.03,315.11,316.4,299.77,329.23,319.07,305.5,303.64,324.67,331.17,339.14,345.89,336.24,332.34,322.01,320.97,330.06,350.0,340.66,340.44,353.81
2013-05-31 21:56:07+00:00,,,,,,,,320.88,322.89,,,,328.55,317.1,319.46,300.84000000000003,291.64,287.605,285.96,294.04499999999996,296.41999999999996,300.355,309.74,307.41499999999996,311.41,308.085,315.11,302.29499999999996,299.77,329.23,319.07,305.5,303.64,312.95500000000004,324.28499999999997,333.12,340.71500000000003,336.24,317.7,322.01,311.29,311.84000000000003,342.78,335.18,334.195,347.09000000000003
2013-08-19 21:56:06+00:00,,,,,,,,328.945,326.49,335.77,333.88,344.23,342.39,334.655,331.73,300.84000000000003,299.74666666666667,297.6333333333333,294.8766666666666,302.50666666666666,306.33,306.8933333333334,316.7266666666667,314.07666666666665,316.99333333333334,317.76,319.84000000000003,311.19666666666666,304.105,333.08500000000004,325.44,311.575,310.055,320.98333333333335,329.96666666666664,333.12,340.71500000000003,336.24,317.7,330.46000000000004,318.74,311.84000000000003,342.78,335.18,334.195,347.09000000000003
2014-02-11 21:54:56+00:00,324.63,324.94,329.3,329.07,342.56,335.03,331.97,336.98,331.765,330.315,333.22,344.375,353.025,346.79999999999995,338.57,317.85,313.28,313.095,304.03,313.1,315.995,316.16,325.6,321.26,322.395,330.25,320.385,322.025,304.875,331.855,324.905,311.845,310.01,332.82000000000005,334.405,338.34,354.35,348.19,341.32,336.08500000000004,331.88,,,,,
2014-05-18 21:53:35+00:00,324.63,324.94,329.3,329.07,342.56,335.03,331.97,330.145,338.31,334.34000000000003,336.59000000000003,348.76,358.345,354.43,341.03499999999997,326.73,326.505,319.725,295.35,306.77,305.84,331.07000000000005,330.815,333.155,336.11,341.12,331.79999999999995,331.28499999999997,301.31,343.005,334.53499999999997,322.375,321.49,339.915,327.48,355.28,354.35,357.385,355.635,349.96500000000003,334.69,,,,,
2014-06-19 21:53:47+00:00,324.63,324.94,329.3,329.07,342.56,335.03,331.97,330.145,338.31,334.34000000000003,336.59000000000003,348.76,358.345,354.43,341.03499999999997,313.75666666666666,313.21000000000004,319.725,295.35,295.58,299.965,318.0,321.5833333333333,323.15333333333336,336.11,341.12,321.3733333333333,318.5833333333333,290.985,332.94666666666666,334.53499999999997,310.8533333333333,311.36,328.7366666666667,323.33500000000004,346.26,346.77,357.385,355.635,349.96500000000003,323.96666666666664,299.73,337.55,331.42,332.59,
