dates,satname,nzd0412-0000,nzd0412-0001,nzd0412-0002,nzd0412-0003,nzd0412-0004,nzd0412-0005,nzd0412-0009,nzd0412-0010,nzd0412-0011,nzd0412-0012,nzd0412-0013,nzd0412-0014,nzd0412-0015,nzd0412-0016,nzd0412-0017,nzd0412-0018,nzd0412-0019,nzd0412-0020,nzd0412-0021,nzd0412-0022,nzd0412-0023,nzd0412-0024,nzd0412-0025,nzd0412-0026,nzd0412-0027,nzd0412-0028,nzd0412-0029,nzd0412-0030,nzd0412-0031,nzd0412-0032,nzd0412-0033,nzd0412-0037,nzd0412-0038,nzd0412-0039,nzd0412-0040,nzd0412-0041,nzd0412-0042,nzd0412-0043,nzd0412-0044,nzd0412-0006,nzd0412-0007,nzd0412-0008,nzd0412-0034,nzd0412-0035,nzd0412-0036,nzd0412-0045,nzd0412-0046,nzd0412-0047,nzd0412-0048,nzd0412-0054,nzd0412-0055,nzd0412-0056,nzd0412-0057,nzd0412-0058,nzd0412-0059,nzd0412-0060,nzd0412-0061,nzd0412-0049,nzd0412-0067,nzd0412-0068,nzd0412-0069,nzd0412-0050,nzd0412-0051,nzd0412-0052,nzd0412-0053,nzd0412-0062,nzd0412-0063,nzd0412-0064,nzd0412-0065,nzd0412-0066
2005-05-23 21:55:00.408000,L5,310.80,300.10,301.29,302.41,309.53,311.59,284.50,271.13,276.94,278.34,288.34,290.67,266.05,,,,,,,,,318.62,320.84,315.11,311.25,321.74,348.69,341.89,344.56,340.58,341.42,,,,,,,,,313.02,304.65,311.33,346.72,351.74,,334.34,274.87,357.91,370.54,,310.88,317.90,326.95,328.56,339.24,335.57,327.08,352.31,,,,,,,,375.26,355.27,384.50,374.73,359.37
2005-06-08 21:55:08.756000,L5,294.26,291.90,289.21,292.98,295.62,312.60,292.67,271.91,274.61,,,,,,,,245.83,290.70,299.36,298.33,311.49,326.68,317.50,307.34,309.47,312.98,335.49,340.69,338.45,335.25,341.70,364.03,343.49,353.48,,,,351.86,362.23,328.99,335.00,329.40,343.81,342.79,355.13,349.91,366.81,359.54,375.59,372.35,,,,,,331.04,318.99,359.83,396.69,393.06,428.45,360.75,362.38,358.72,361.17,356.60,346.00,370.14,385.05,382.87
2005-07-10 21:55:19.319000,L5,336.32,318.63,323.98,323.62,333.96,,,342.28,340.63,330.78,325.11,328.54,331.28,324.68,328.69,323.65,333.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-27 21:55:43.837000,L5,330.49,325.15,321.34,324.40,332.71,,326.23,301.67,299.44,296.82,311.38,311.31,311.32,311.33,295.85,290.99,334.45,329.74,328.36,344.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-28 21:55:44.137000,L5,,,,,,,336.17,311.21,330.71,321.15,327.30,331.31,328.46,330.14,321.97,322.19,345.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-19 21:58:15.515000,L5,,,,,,,326.65,324.97,312.68,318.46,323.87,325.92,330.01,328.42,336.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-27 22:00:24.118000,L5,310.77,305.63,302.07,301.45,312.07,319.10,307.53,276.79,278.16,251.95,286.56,243.14,,,,228.17,272.02,300.40,310.68,313.29,318.71,332.92,328.59,324.55,326.53,321.79,355.09,357.15,,,,,,,,366.65,382.95,376.08,377.64,334.30,335.68,332.28,,,,368.78,378.49,,,,,,315.85,325.42,310.80,350.97,339.75,,,,,,,,,382.24,,,,
2006-11-02 22:01:56.430000,L5,334.97,324.16,328.90,328.36,335.21,,327.84,312.21,316.50,306.59,319.49,325.40,330.82,332.23,341.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-05 22:02:28.201000,L5,319.85,312.41,317.96,320.73,322.49,330.74,329.40,320.19,319.14,326.38,330.31,313.39,313.01,317.21,325.38,337.70,293.98,312.42,333.31,345.73,345.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-21 22:02:33.422000,L5,329.58,321.19,320.01,316.27,316.51,332.26,319.23,317.75,312.56,312.71,322.19,325.26,320.52,327.68,316.22,329.54,303.48,321.97,322.18,336.67,335.47,,,,,,,,,,,,,,,,,,,,349.72,342.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-16 22:04:21.599000,L5,,,,,,,,,,290.47,300.95,306.48,308.95,306.77,314.21,342.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-25 21:58:00.859000,L5,323.62,317.54,323.76,323.72,328.08,335.41,330.60,301.95,295.74,297.94,306.42,314.15,324.10,328.79,312.57,332.07,309.49,326.92,332.94,338.95,341.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-25 21:52:09.965000,L5,317.37,309.21,322.22,313.78,319.59,329.31,305.75,298.58,302.37,304.58,312.40,316.45,313.89,310.95,287.21,272.03,296.94,310.79,317.47,341.64,348.81,,,,,,,,,,,,,,,,,,,,,333.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-13 21:58:24.995000,L5,,,,,,,320.19,303.20,301.96,297.03,308.80,310.07,315.06,346.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-29 21:58:29.033000,L5,,,,,,,322.77,307.83,306.42,308.79,318.20,320.48,321.29,348.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-13 21:56:09.668000,L5,,,,,,,316.11,300.50,295.07,293.74,310.83,313.14,310.09,307.42,314.95,292.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-29 22:09:41.256000,L8,317.92,311.09,316.15,316.72,321.89,335.59,300.64,283.98,285.42,274.57,296.42,295.82,291.72,301.04,343.57,241.76,288.30,,,,,,345.12,337.07,339.61,335.75,355.25,356.29,354.03,348.20,353.15,366.36,355.40,364.28,361.37,370.02,373.13,367.07,370.11,,,325.78,350.18,355.77,,363.58,369.45,369.70,379.64,,,,,,,,,367.67,,,,,,,,,,,,
