dates,satname,nzd0499-0000,nzd0499-0001,nzd0499-0002,nzd0499-0003,nzd0499-0004,nzd0499-0005,nzd0499-0006,nzd0499-0007,nzd0499-0008,nzd0499-0009,nzd0499-0010,nzd0499-0011,nzd0499-0012,nzd0499-0013,nzd0499-0014,nzd0499-0015,nzd0499-0016,nzd0499-0017,nzd0499-0018,nzd0499-0019,nzd0499-0020,nzd0499-0021,nzd0499-0022,nzd0499-0023,nzd0499-0024,nzd0499-0025,nzd0499-0026,nzd0499-0027,nzd0499-0028,nzd0499-0029,nzd0499-0030,nzd0499-0031,nzd0499-0032,nzd0499-0033
2005-03-11 22:01:31.683000,L5,420.74,290.13,288.85,291.02,293.03,293.62,285.08,287.65,289.42,293.34,293.15,294.93,297.52,297.71,311.21,312.64,303.89,296.75,318.31,317.87,313.78,312.96,312.62,315.33,315.38,319.82,321.10,318.14,315.08,308.24,299.71,281.05,285.23,293.16
2005-04-12 22:01:42.862000,L5,407.14,284.76,281.69,284.87,284.86,284.15,284.99,295.00,292.73,296.43,295.22,293.66,297.46,297.26,309.67,313.18,300.36,291.57,309.60,310.57,308.93,308.95,306.69,310.50,314.54,318.67,321.36,315.33,317.00,312.30,304.53,280.52,277.40,300.06
2005-06-15 22:02:10.206000,L5,272.29,267.33,266.42,266.68,267.75,269.06,272.78,271.85,268.15,272.86,265.76,261.83,263.19,268.26,,,,,,,,,,,,,,,,,,,,
2005-06-22 22:08:22.866000,L5,395.40,271.43,272.91,268.91,266.58,269.59,268.89,270.20,268.64,268.56,266.57,,,,,,,,,,,,,,,,,,,,,,,
2005-08-09 22:08:46.932000,L5,437.97,310.68,313.98,314.88,309.94,309.35,294.07,298.41,303.26,297.62,299.36,309.24,300.44,,,,330.76,318.53,335.99,338.19,332.62,338.44,334.57,331.23,335.86,332.51,333.46,,,,,,,
2005-09-19 22:02:44.739000,L5,385.22,259.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-05 22:02:41.026000,L5,408.76,286.40,288.78,296.56,297.33,297.94,294.79,294.81,295.23,295.76,293.70,294.25,300.07,301.20,306.51,309.63,294.25,295.25,310.79,309.78,307.58,307.49,309.01,310.99,314.58,322.04,323.22,316.21,314.40,311.53,301.50,278.05,279.48,287.50
2006-02-01 22:11:01.629000,L5,415.60,293.03,295.13,294.85,294.51,293.77,288.80,293.55,292.02,299.42,299.38,301.81,302.88,304.28,312.13,320.91,306.72,300.09,323.53,322.66,318.76,313.45,316.04,313.60,317.70,319.82,324.79,324.30,316.66,318.96,299.22,276.56,280.51,286.73
2006-02-26 22:05:22.928000,L5,434.88,291.60,291.86,299.82,299.09,297.09,296.76,294.03,292.27,293.13,295.36,298.62,302.67,304.92,313.01,315.93,298.42,296.46,324.81,321.36,320.99,317.54,316.08,319.51,319.49,325.48,326.41,322.33,321.98,314.89,302.25,274.33,278.43,283.02
2006-03-14 22:05:42.635000,L5,399.11,293.63,295.40,302.34,298.48,304.04,290.91,297.10,297.32,295.33,297.34,296.62,303.11,305.44,312.73,319.11,301.05,298.70,320.34,326.45,322.88,319.49,318.86,318.12,320.89,324.12,326.29,325.69,319.28,320.41,306.62,277.85,280.96,289.21
