dates,satname,nzd0191-0000,nzd0191-0001,nzd0191-0002,nzd0191-0010,nzd0191-0011,nzd0191-0012,nzd0191-0013,nzd0191-0014,nzd0191-0015,nzd0191-0016,nzd0191-0017,nzd0191-0018,nzd0191-0019,nzd0191-0020,nzd0191-0021,nzd0191-0022,nzd0191-0023,nzd0191-0024,nzd0191-0025,nzd0191-0026,nzd0191-0027,nzd0191-0028,nzd0191-0029,nzd0191-0030,nzd0191-0031,nzd0191-0032,nzd0191-0033,nzd0191-0034,nzd0191-0035,nzd0191-0036,nzd0191-0037,nzd0191-0038,nzd0191-0047,nzd0191-0048,nzd0191-0049,nzd0191-0050,nzd0191-0051,nzd0191-0052,nzd0191-0053,nzd0191-0054,nzd0191-0055,nzd0191-0056,nzd0191-0057,nzd0191-0058,nzd0191-0003,nzd0191-0004,nzd0191-0005,nzd0191-0006,nzd0191-0007,nzd0191-0008,nzd0191-0009,nzd0191-0039,nzd0191-0040,nzd0191-0041,nzd0191-0042,nzd0191-0043,nzd0191-0044,nzd0191-0045,nzd0191-0046,nzd0191-0059
2005-06-08 21:53:33.007000,L5,,,,,,,,,,,,,,,,,,,,,,,231.22,234.44,236.40,241.37,250.93,229.34,246.55,249.18,257.49,257.39,237.92,,,,,,,,,,,,,,,,,,,,239.84,243.71,236.97,255.40,255.07,257.14,241.36,
2005-07-19 21:47:39.248000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.29,,,,,,,,,,,,,,,,,,,226.36,243.33,239.64,241.42,253.09,249.66,251.98,237.35,
2005-10-30 21:54:03.531000,L5,339.11,303.10,280.65,245.89,249.17,265.60,275.10,272.30,270.05,263.51,272.71,262.08,251.32,247.60,244.00,259.69,257.24,266.13,278.45,286.10,281.59,283.43,287.13,282.80,270.55,265.65,283.50,278.74,287.13,287.90,309.05,314.99,285.61,279.01,309.12,318.25,322.45,326.92,328.04,318.08,314.12,291.16,282.21,285.99,253.08,237.63,,,,,226.95,302.27,300.64,303.18,293.55,285.41,275.40,288.93,284.70,
2006-02-19 21:56:39.909000,L5,,,,,,,,,,,,209.62,222.73,220.72,214.66,237.13,240.32,242.44,252.35,248.96,250.32,239.23,248.95,246.50,248.58,251.30,262.35,263.87,267.91,277.26,271.01,280.42,,,,,,,,,,,,,,,,,,,,260.45,241.53,244.03,244.35,263.30,242.46,,,
2006-02-28 21:50:40.410000,L5,,,,,,,,,,,,,,,,,,,,,,,222.58,232.56,218.19,235.82,235.06,241.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04-08 21:57:36.601000,L5,,,,261.40,263.07,267.46,267.39,254.99,251.51,250.63,264.16,257.96,258.28,254.84,255.41,271.69,268.74,276.24,282.22,274.53,276.21,275.39,281.42,280.43,281.80,285.34,293.27,295.59,301.61,306.12,306.78,310.76,300.68,295.97,308.08,317.81,313.66,315.89,312.89,310.87,305.85,296.10,285.80,295.80,,,,,,,245.26,290.06,290.82,296.77,284.62,298.87,290.38,299.42,298.30,
2006-06-27 21:58:48.654000,L5,,,,,,,,,,,,,,,,,,,,236.75,239.13,227.97,235.89,234.20,242.63,240.45,249.35,243.93,256.21,254.10,259.45,265.71,250.10,,,,,,,,,,,,,,,,,,,237.93,249.44,253.80,245.36,255.28,250.11,258.22,253.66,
2006-07-13 21:59:02.335000,L5,,,,,,,,,,,,,,,,,,,,236.05,237.55,228.96,232.18,231.66,234.19,237.16,247.20,240.56,255.06,253.95,258.54,265.05,246.97,,,,,,,,,,,,,,,,,,,230.66,253.15,233.93,234.18,241.07,245.97,256.36,250.10,
2006-08-07 21:53:11.255000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,218.37,239.05,253.24,255.54,264.26,268.92,,,,,,,,,,,,,,,,,,,,240.68,252.72,251.39,,,,,,
2006-08-23 21:53:23.469000,L5,332.79,288.54,264.35,257.81,258.62,265.31,262.15,256.24,257.87,249.65,263.84,262.08,259.89,258.80,255.25,269.88,268.64,276.65,273.33,273.51,274.94,272.49,277.24,271.12,282.72,284.26,292.53,299.39,299.79,300.96,300.64,301.12,296.87,293.63,302.59,306.26,309.10,310.25,307.13,303.19,297.82,301.38,292.76,300.74,237.85,,,,,,240.09,293.42,292.04,291.04,283.63,292.09,291.56,300.14,298.65,
2006-10-10 21:53:56.892000,L5,331.30,293.89,271.03,254.01,252.94,263.71,269.03,257.10,244.57,213.66,,,,,,203.92,209.74,254.22,274.00,254.81,270.85,265.06,274.01,269.40,277.16,280.64,288.31,290.22,291.67,292.31,284.01,302.33,287.10,273.45,292.32,301.80,302.91,303.80,313.58,298.66,299.41,295.59,271.86,,245.00,,,,,,239.34,292.25,293.22,289.69,284.43,286.55,287.03,294.30,293.40,
2006-12-13 21:54:31.554000,L5,348.50,305.66,277.13,262.95,268.02,271.74,273.01,269.82,264.67,266.04,265.28,259.12,261.73,258.30,259.63,265.33,267.56,283.41,284.06,288.13,281.19,284.29,285.20,285.74,285.95,280.82,291.76,296.46,299.28,301.90,305.76,315.79,296.77,290.51,304.57,306.87,318.76,314.74,322.05,314.50,318.23,303.47,300.65,292.23,254.81,,,,,,248.36,301.03,301.49,300.58,291.89,300.46,292.73,300.29,295.03,
2007-01-30 21:54:48.635000,L5,,,,,,,,,,,,,,,185.50,213.23,231.70,235.07,227.34,225.92,225.56,198.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-25 21:50:34.359000,L5,,,,,,,,,,,,,,,,,,,248.03,245.92,253.05,251.83,259.63,261.42,252.60,246.09,260.89,265.04,263.55,270.21,277.83,290.01,270.84,257.44,276.06,276.30,259.81,,,,,,,,,,,,,,,271.03,274.32,269.52,267.45,264.61,257.33,267.35,269.14,
2009-11-26 21:56:28.873000,L5,328.81,293.72,266.98,255.31,258.60,261.63,261.30,258.75,253.03,257.98,269.51,270.75,265.85,263.17,264.07,261.12,266.37,267.25,272.66,274.49,271.81,279.28,281.85,282.13,284.92,285.57,294.34,292.86,292.87,292.78,293.30,300.37,291.59,279.63,301.27,301.29,303.16,297.49,311.48,309.61,305.30,297.70,292.80,299.31,247.15,238.31,,,,205.35,270.22,286.95,292.37,293.07,292.90,290.97,289.39,298.81,298.44,
2010-01-13 21:56:49.389000,L5,333.45,292.03,263.87,256.55,257.43,257.41,260.08,251.06,252.45,250.05,262.26,268.18,269.18,264.54,262.52,271.79,276.08,271.36,279.79,277.98,276.41,278.12,280.26,281.11,285.43,286.84,294.15,293.79,299.15,302.67,301.23,304.65,299.45,290.13,300.23,299.69,302.43,300.51,301.99,300.85,304.23,294.20,287.54,286.12,248.95,,,,,,260.94,293.66,292.13,293.37,286.02,289.20,289.51,298.81,299.85,
