dates,satname,nzd0425-0000,nzd0425-0001,nzd0425-0002,nzd0425-0003,nzd0425-0004,nzd0425-0005,nzd0425-0006,nzd0425-0007,nzd0425-0008,nzd0425-0009,nzd0425-0010,nzd0425-0011,nzd0425-0012,nzd0425-0013,nzd0425-0014,nzd0425-0015,nzd0425-0016,nzd0425-0017,nzd0425-0018,nzd0425-0019,nzd0425-0020,nzd0425-0021,nzd0425-0022,nzd0425-0023,nzd0425-0025,nzd0425-0026,nzd0425-0024
2020-07-17 22:19:52.728000,L8,312.76,304.76,297.06,298.66,278.16,267.70,259.28,257.48,244.79,249.16,220.45,,,,,,,,,,,,,,,,
2020-09-19 22:20:15.764000,L8,303.81,291.75,290.34,293.13,277.89,263.43,255.65,259.06,246.64,253.01,213.66,,,,,,,,,,,,,,,,
2020-10-21 22:20:19.635000,L8,320.29,311.51,310.63,316.54,301.29,285.26,279.52,279.21,270.90,282.29,282.46,288.27,239.36,194.00,,,,233.75,225.21,213.69,204.17,181.48,,,,,
2021-01-25 22:20:07.939000,L8,332.57,347.26,351.13,361.40,370.41,340.37,364.44,373.53,360.15,386.55,283.37,287.68,266.83,196.92,366.89,,,,,,,296.58,322.22,304.68,,,289.99
2021-03-30 22:19:46.369000,L8,329.64,315.96,326.30,323.64,306.92,288.88,283.02,284.89,274.40,283.22,282.48,288.26,264.44,201.60,,,250.96,246.00,220.82,218.03,208.85,188.66,,,,,
2021-05-17 22:19:36.460000,L8,337.57,327.55,356.50,335.71,311.88,288.72,362.50,376.70,386.05,387.69,280.21,289.88,257.92,202.37,,,,,,,,,,,293.21,278.07,309.08
2021-10-08 22:20:23.573000,L8,302.53,290.58,280.67,277.30,264.35,261.20,251.77,254.05,242.42,,,,,,,,,,,,,,,,,,
2021-11-21 22:22:10.853000,L9,290.10,290.81,290.94,282.18,,,,264.07,251.49,259.47,260.10,263.38,,,,,,,,,,,,,,,
2021-12-11 22:20:20.735000,L8,298.18,290.26,285.38,285.95,275.14,257.39,253.40,259.37,245.04,260.06,257.14,261.41,,,,,,,,,,,,,,,
2022-01-04 22:20:15.895000,L9,327.15,313.73,311.72,316.58,306.82,286.78,281.37,282.67,272.58,284.51,282.73,291.17,259.82,195.47,,,,245.08,233.80,214.57,204.33,180.53,,,,,
2022-01-12 22:20:13.302000,L8,326.16,313.84,312.71,368.00,373.03,377.56,392.43,395.50,273.23,283.69,282.13,288.63,263.06,194.51,,,,246.20,231.32,183.59,202.92,182.58,,,,,
2022-01-20 22:20:15.352000,L9,329.09,329.59,338.43,370.43,368.17,377.36,388.68,353.23,411.13,283.28,282.11,289.23,264.71,194.24,,,,,227.17,211.05,175.64,178.91,338.84,320.03,299.44,294.08,305.93
2022-01-28 22:20:07.765000,L8,317.89,312.11,308.75,312.19,302.86,284.78,280.58,280.44,273.46,282.89,282.65,288.05,261.40,191.58,,,,240.17,231.42,213.18,204.30,183.50,,,,,
2022-02-13 22:20:04.573000,L8,333.52,336.30,346.59,364.32,356.87,358.58,380.32,393.35,399.61,369.20,281.67,286.83,248.00,189.18,,,,,,,310.30,329.71,333.36,307.05,289.09,271.71,295.90
2022-03-01 22:20:00.590000,L8,319.33,314.62,312.09,314.74,304.26,284.71,279.96,280.33,272.07,283.52,280.28,288.07,239.54,185.49,,,,,,,,,,,,,
2022-03-09 22:20:01.331000,L9,327.51,314.00,314.61,318.01,305.96,379.20,416.13,411.91,401.47,282.15,279.97,288.37,249.09,187.90,,,,,,,,,,,,,
2022-03-25 22:19:56.534000,L9,297.99,288.36,281.78,259.08,264.23,255.75,246.07,251.20,239.09,,,,,,,,,,,,,,,,,,
2022-04-02 22:19:43.573000,L8,337.10,343.68,357.62,377.56,380.98,373.83,393.96,414.31,426.44,434.13,441.05,441.25,253.78,189.06,,,,,,,,,,311.83,287.07,276.46,298.71
2022-04-26 22:19:44.760000,L9,304.56,290.90,285.88,291.44,275.20,261.54,255.10,255.38,239.84,253.07,224.29,,,,,,,,,,,,,,,,
2022-06-21 22:20:12.723000,L8,308.39,300.22,289.31,295.69,275.51,267.14,256.90,254.33,239.80,209.92,220.37,,,,,,,,,,,,,,,,
2022-07-15 22:19:48.449000,L9,310.84,302.65,296.76,299.84,224.50,274.79,269.12,269.51,260.66,267.86,247.24,268.23,,,,,,,,,,,,,,,
2022-09-09 22:20:35.372000,L8,321.64,318.44,315.85,320.15,308.66,287.54,281.69,281.09,273.43,282.99,281.44,288.87,247.41,189.88,,,,,,,,,,,,,
2022-11-04 22:20:24.254000,L9,293.33,281.75,279.22,281.75,269.52,255.72,246.57,248.89,239.08,,,,,,,,,,,,,,,,,,
2022-12-22 22:20:23.268000,L9,319.70,315.70,328.72,347.61,307.05,288.46,282.29,282.28,274.42,284.41,286.49,291.04,258.73,189.95,,,,,,,,,,,,,
2022-12-30 22:20:24.536000,L8,336.19,312.24,309.83,316.52,305.14,287.28,280.59,283.05,272.41,285.67,282.89,289.78,258.47,190.02,,,,,,,,,,,,,
2023-01-07 22:20:26.525000,L9,320.16,313.90,316.52,339.46,305.11,285.36,278.91,281.33,273.04,283.89,282.90,289.32,256.51,187.89,,,,,,,,,,,,,
2023-01-15 22:20:17.720000,L8,315.37,311.34,313.46,314.39,303.56,284.63,279.00,280.07,273.36,282.33,283.20,287.37,254.33,187.38,,,,,,,,,,,,,
