dates,nzd0212-0000,nzd0212-0001,nzd0212-0002,nzd0212-0003,nzd0212-0004,nzd0212-0005,nzd0212-0006,nzd0212-0007,nzd0212-0008,nzd0212-0014,nzd0212-0015,nzd0212-0016,nzd0212-0017,nzd0212-0018,nzd0212-0019,nzd0212-0020,nzd0212-0021,nzd0212-0022,nzd0212-0023,nzd0212-0024,nzd0212-0025,nzd0212-0026,nzd0212-0027,nzd0212-0028,nzd0212-0029,nzd0212-0030,nzd0212-0031,nzd0212-0032,nzd0212-0033,nzd0212-0034,nzd0212-0035,nzd0212-0036,nzd0212-0037,nzd0212-0042,nzd0212-0043,nzd0212-0044,nzd0212-0045,nzd0212-0046,nzd0212-0047,nzd0212-0048,nzd0212-0049,nzd0212-0050,nzd0212-0051,nzd0212-0052,nzd0212-0053,nzd0212-0054,nzd0212-0055,nzd0212-0056,nzd0212-0057,nzd0212-0058,nzd0212-0059,nzd0212-0060,nzd0212-0061,nzd0212-0062,nzd0212-0009,nzd0212-0010,nzd0212-0011,nzd0212-0012,nzd0212-0013,nzd0212-0038,nzd0212-0039,nzd0212-0040,nzd0212-0041
2010-12-22 22:02:05+00:00,,,,273.35,,212.86,,,,308.92,334.86,338.89,341.39,343.74,338.5,355.47,302.32,,,,328.98,330.08,,316.52,314.09000000000003,317.515,320.74,327.26,327.36,279.78,,,,239.07,330.71,327.07,346.72,335.65,333.56,232.51,,,329.06,,335.2,330.56,321.94,329.05,319.88,308.87,308.34,312.01,207.1,,,,,,,,,,
2011-01-07 22:02:08+00:00,,,,273.35,,212.86,,,,308.92,334.86,338.89,341.39,343.74,338.5,355.47,302.32,,,,328.98,335.62,,317.45,315.62,317.70666666666665,315.5,320.18,327.36,279.78,,,,225.99,330.71,327.07,346.72,335.65,333.56,225.29,,,329.06,,335.2,330.56,321.94,329.05,319.88,308.87,308.34,312.01,198.20000000000002,,,,,,,,,,
2011-01-16 21:55:58+00:00,310.17,307.45,300.55,276.935,,215.755,,,,308.24,333.17,340.73,343.375,341.85,338.345,352.95000000000005,325.7,,,338.72,331.04,334.42,320.03,317.98,316.9775,319.09749999999997,318.0325,326.1875,321.56,276.075,188.74,,,234.05999999999997,327.97,327.25,339.38,334.58,331.565,225.29,,,330.19,328.05,331.14,325.95500000000004,320.08000000000004,324.86,317.99,308.98,307.42999999999995,312.755,198.20000000000002,,,,,,,,,,
2011-02-17 21:56:00+00:00,322.105,301.06,306.07500000000005,279.81666666666666,,215.755,,,,315.12333333333333,338.55,341.6666666666667,344.78999999999996,345.03,345.3533333333333,353.2366666666667,335.40333333333336,362.79,356.58,347.94500000000005,337.2166666666667,336.985,332.815,322.642,321.094,322.288,323.29,331.202,316.32,267.5333333333333,188.74,,,234.05999999999997,333.62666666666667,331.59666666666664,338.56333333333333,333.61999999999995,331.37333333333333,225.29,,,332.50333333333333,337.33000000000004,332.46,328.34666666666664,323.72,327.27,323.74333333333334,313.07,311.1166666666666,317.45,198.20000000000002,,,,,,240.85,,,197.65,248.2
2011-09-04 22:00:51+00:00,,,350.5,,352.72,231.55,243.98,,,,,377.4,,,,,356.24,,341.04,355.76,334.92,321.54,318.87,314.36,315.08,306.12,303.65,303.42,,,,,,,,,,,,182.98,,,,,,,,,,,,,200.22,,,,,,280.92,,,,
2013-04-27 22:07:47+00:00,323.12,334.21,329.9,,,,,,,,300.88,,,,,,,,,,,,,,,,,341.02,,286.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-07 22:14:12+00:00,323.12,334.21,329.9,,,,,,,,300.88,,,,,,,,,,,,,357.59,339.9,341.97,339.52,341.02,328.73,294.845,,,,,,,,,,,,245.13,,,,206.67,,,,,,,210.0,,,,,,,,230.27,206.93,231.07
2013-08-08 22:14:13+00:00,323.12,334.21,329.9,,,,,,,,300.88,,,,,,,,,,,,,357.59,339.9,341.97,339.52,334.19,320.24,294.845,,,,252.41,,,,,,182.54,,245.13,,,,210.14999999999998,,,,,,,193.595,,,,,,,,230.27,206.93,231.07
2013-08-17 22:08:03+00:00,323.12,334.21,329.9,,,,,,,,300.88,,332.94,340.62,360.05,,336.02,,,,,,,357.59,339.9,341.97,339.52,333.51666666666665,318.34,289.08,163.3,,,268.16,346.79,330.73,342.8,,,182.54,,245.13,,,,210.14999999999998,,,,,,,193.595,,,,,,,,230.27,206.93,220.93
2013-09-02 22:08:04+00:00,322.71500000000003,334.455,329.9,269.74,,216.97,,,,291.09,305.845,,335.11,343.495,361.14,365.51,339.635,349.46,,,336.15,,,346.73,336.13,337.79,341.92499999999995,335.7175,321.3875,289.1275,163.365,,,262.20666666666665,340.565,331.88,344.055,324.92,322.13,182.54,335.93,245.13,,327.4,,210.14999999999998,332.83,327.39,,,,,193.595,,,,,,,,230.27,206.93,221.63
2013-10-11 22:14:05+00:00,322.71500000000003,334.455,329.9,269.74,315.18,216.97,290.61,,,291.09,305.845,,335.11,343.495,361.14,365.51,339.635,349.46,,,336.71,327.93,320.99,336.56666666666666,330.23,328.9533333333333,341.92499999999995,329.91999999999996,321.3875,289.1275,163.365,,,262.20666666666665,340.565,331.88,300.24666666666667,324.92,322.13,187.97,335.93,245.13,,327.4,,210.14999999999998,332.83,327.39,,,,,193.595,,,,,,,,230.27,206.93,221.63
2013-11-05 22:07:46+00:00,329.58000000000004,337.28999999999996,310.66,281.59000000000003,315.18,216.97,290.61,,,291.09,327.765,,335.11,346.9766666666667,360.19000000000005,365.51,339.635,349.46,,,336.71,327.93,320.99,336.56666666666666,330.23,328.9533333333333,341.92499999999995,327.145,324.322,292.7125,169.07666666666668,,,263.4,340.565,331.88,300.24666666666667,324.92,322.13,187.97,335.93,245.13,,327.4,,210.14999999999998,332.83,327.39,,,,,193.595,,,,,,,,230.27,206.93,219.99
2013-11-21 22:07:37+00:00,332.4266666666667,338.7266666666667,319.32000000000005,289.8833333333334,315.18,223.755,290.61,,,306.44,334.09,,343.9866666666667,349.82,360.19000000000005,365.51,339.635,349.46,,,336.71,327.93,320.99,336.56666666666666,334.2,334.515,347.1233333333333,327.145,328.0266666666667,293.652,172.04500000000002,,,265.20799999999997,342.20666666666665,335.24666666666667,300.24666666666667,324.92,332.635,187.97,335.615,245.13,336.64,333.39,,210.14999999999998,333.025,329.17499999999995,327.81,321.0,,,193.595,,,,,,,,230.27,206.93,221.11999999999998
2013-12-14 22:13:45+00:00,332.4266666666667,338.7266666666667,319.32000000000005,289.8833333333334,322.065,234.93666666666664,284.21000000000004,,,306.44,334.09,,343.9866666666667,349.82,360.19000000000005,365.51,339.635,349.46,,,336.71,327.93,321.78999999999996,331.205,330.89,330.28200000000004,347.1233333333333,324.26000000000005,328.0266666666667,293.652,172.04500000000002,,,268.30833333333334,342.20666666666665,335.24666666666667,286.055,324.92,332.635,209.9766666666667,335.615,226.84,336.64,333.39,,203.1833333333333,333.025,329.17499999999995,327.81,321.0,,,193.595,,,,,168.63,308.31,,230.27,206.93,221.11999999999998
