dates,satname,nzd0152-0000,nzd0152-0001,nzd0152-0002,nzd0152-0003,nzd0152-0004,nzd0152-0005,nzd0152-0006,nzd0152-0011,nzd0152-0012,nzd0152-0007,nzd0152-0008,nzd0152-0009,nzd0152-0010
2019-01-22 22:05:50.255000,L8,352.72,344.07,296.11,302.01,284.81,287.15,292.33,278.10,282.63,287.45,283.38,280.03,268.53
2019-04-12 22:05:06.784000,L8,355.97,290.24,291.48,297.92,280.46,284.86,291.97,276.37,282.79,286.32,279.90,277.56,269.86
2019-04-12 22:05:30.743000,L8,357.63,341.04,294.96,300.86,284.59,290.01,295.30,280.27,287.33,290.23,283.32,281.65,273.65
2019-06-15 22:05:27.936000,L8,298.57,299.07,298.61,300.40,287.92,289.97,296.77,284.78,288.29,299.23,286.41,287.81,287.36
2019-06-15 22:05:51.895000,L8,283.27,279.36,282.28,284.73,271.38,274.65,,265.99,272.62,,,,
2019-07-17 22:05:35.131000,L8,294.11,289.50,289.92,293.65,280.48,279.53,,,,,,,
2019-07-17 22:05:59.094000,L8,288.20,282.38,285.03,288.94,272.67,,,,,,,,
2019-08-02 22:05:42.028000,L8,298.36,303.81,304.03,296.68,284.24,284.37,290.57,277.14,281.92,283.98,278.34,277.42,270.57
2019-08-02 22:06:05.991000,L8,,,,,,,,262.66,268.98,,,,
2019-09-19 22:05:56.310000,L8,345.00,340.60,296.91,304.43,281.69,284.48,292.22,277.12,281.33,285.53,282.36,277.68,269.63
2019-09-19 22:06:20.269000,L8,345.44,340.72,297.42,304.86,282.50,285.29,292.43,277.61,281.43,285.97,282.91,278.21,269.72
2019-10-21 22:06:01.934000,L8,281.26,279.31,279.02,290.48,,,,,261.15,,,,
2019-10-21 22:06:25.884000,L8,292.52,289.73,287.83,304.25,274.48,278.84,,267.55,270.16,,,,
2019-11-06 22:06:00.727000,L8,350.12,305.77,297.80,304.94,279.44,282.06,290.67,275.29,279.15,280.16,277.56,276.23,265.34
2019-11-06 22:06:24.678000,L8,351.41,310.61,298.68,306.38,280.20,282.74,290.90,276.28,279.58,280.24,278.38,276.30,265.73
