dates,satname,nzd0277-0000,nzd0277-0001,nzd0277-0002,nzd0277-0003,nzd0277-0004,nzd0277-0005,nzd0277-0006,nzd0277-0007,nzd0277-0008,nzd0277-0009,nzd0277-0010,nzd0277-0012,nzd0277-0013,nzd0277-0014,nzd0277-0015,nzd0277-0011,nzd0277-0016,nzd0277-0017,nzd0277-0018,nzd0277-0019,nzd0277-0020,nzd0277-0021,nzd0277-0022,nzd0277-0023,nzd0277-0024,nzd0277-0025,nzd0277-0026,nzd0277-0027,nzd0277-0028,nzd0277-0029,nzd0277-0030,nzd0277-0031,nzd0277-0032,nzd0277-0033,nzd0277-0034,nzd0277-0042,nzd0277-0043,nzd0277-0044,nzd0277-0036,nzd0277-0037,nzd0277-0038,nzd0277-0035,nzd0277-0048,nzd0277-0039,nzd0277-0040,nzd0277-0041,nzd0277-0045,nzd0277-0046,nzd0277-0047,nzd0277-0049,nzd0277-0050
2018-07-05 22:11:42.717000,L8,298.28,280.06,290.88,289.28,277.92,287.66,294.97,306.17,312.98,301.27,261.53,244.86,,,,239.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-07 22:12:12.319000,L8,302.67,288.25,284.28,280.58,286.13,302.63,298.97,301.55,297.76,289.81,252.13,248.35,250.20,272.74,288.03,251.98,297.13,288.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-18 22:06:17.672000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.35,274.86,237.81,,,,,,286.81,285.83,280.08,272.11,255.41,,,
2018-10-25 22:12:30.455000,L8,306.73,297.08,282.94,285.12,285.47,294.42,296.30,304.40,299.95,304.39,,,245.39,336.60,296.48,,296.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-10 22:12:32.931000,L8,301.94,283.46,282.40,274.06,279.90,290.98,296.17,301.31,293.69,283.38,,247.76,252.72,282.44,303.94,238.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22 22:06:14.214000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.88,,,,,259.53,,,,276.47,261.60,276.74,276.13,312.52
2019-02-14 22:12:21.382000,L8,288.18,276.70,278.27,263.95,269.46,275.78,293.57,301.81,304.31,296.21,256.02,,,,,,,,,,,,,,,,,,,,319.55,320.11,323.87,,,,,,,,,,,,,,,,,,
2019-03-02 22:12:17.213000,L8,319.48,299.67,292.53,289.05,298.04,312.61,323.45,320.12,315.00,298.68,258.69,275.48,251.39,278.74,288.18,251.84,265.46,264.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-03 22:12:08.572000,L8,329.92,296.33,288.60,287.91,293.01,298.14,319.60,320.87,303.82,322.26,259.11,280.33,273.52,308.93,313.08,267.40,276.29,325.32,315.02,337.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-12 22:05:54.693000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.20,,,288.62,310.95,304.32,,,,,
2019-04-19 22:12:02.533000,L8,307.98,301.02,283.13,289.04,289.61,292.75,299.00,303.59,308.80,308.42,266.92,245.38,,,,258.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
