dates,nzd0327-0000,nzd0327-0001,nzd0327-0002,nzd0327-0003,nzd0327-0004,satname
2014-03-06 22:01:13.234,228.05699999999996,212.19500000000002,220.23000000000002,281.53499999999997,294.614,L8
2014-03-31 21:55:05.499,225.7981818181818,209.98272727272726,217.4790909090909,279.79,292.2581818181818,L8
2014-05-02 21:54:10.285,220.93666666666667,206.31444444444443,209.53666666666666,276.39666666666665,286.1644444444444,L8
2014-05-02 21:54:34.240,219.08800000000002,204.555,208.825,276.02,285.40700000000004,L8
2014-05-09 22:00:15.454,219.08800000000002,200.7881818181818,206.56454545454545,275.19272727272727,283.90090909090907,L8
2014-05-18 21:53:59.589,215.606,199.62800000000001,205.83200000000002,274.16636363636366,281.2990909090909,L8
2014-05-18 21:54:23.552,217.12454545454545,201.59909090909093,207.76727272727274,275.7775,283.6175,L8
2014-05-25 22:00:10.718,216.14499999999998,201.82,207.43200000000002,274.53181818181815,281.79818181818183,L8
2014-06-19 21:54:11.305,210.6677777777778,196.2488888888889,204.49444444444444,272.267,277.946,L8
2014-06-19 21:54:35.268,210.6677777777778,196.2488888888889,204.49444444444444,269.9054545454546,274.0772727272727,L8
2014-07-05 21:54:17.655,209.536,196.142,204.122,270.30583333333334,274.265,L8
2014-07-05 21:54:41.613,208.5290909090909,195.98272727272726,203.70454545454547,270.6130769230769,274.3807692307692,L8
2014-08-13 22:00:42.730,207.1890909090909,195.57363636363635,203.59181818181816,270.5930769230769,274.0169230769231,L8
2014-09-07 21:54:36.706,208.7790909090909,196.52636363636364,206.22818181818184,272.7607692307692,276.5023076923077,L8
2014-09-07 21:55:00.661,207.73333333333335,195.76666666666665,204.85083333333333,272.2314285714286,276.0142857142857,L8
2014-09-23 21:54:33.372,207.25,195.31153846153848,204.0023076923077,271.85066666666665,275.8513333333333,L8
2014-09-23 21:54:57.339,206.9264285714286,194.91642857142855,203.2757142857143,271.5025,275.665625,L8
2014-11-01 22:00:50.529,207.15416666666667,195.72583333333333,203.68000000000004,271.56142857142856,275.35714285714283,L8
2014-11-17 22:00:50.637,206.29363636363635,196.40090909090907,202.51545454545456,270.4533333333333,274.5875,L8
2015-01-04 22:00:41.874,209.35625,196.36374999999998,203.1425,273.08375,280.52625,L8
2015-03-09 22:00:18.465,214.01666666666665,198.29333333333332,205.28333333333333,273.12166666666667,280.825,L8
2015-04-03 21:53:50.839,224.728,206.22799999999998,218.256,281.24,284.625,L8
2015-04-03 21:54:14.789,224.65666666666667,206.46333333333334,216.64333333333332,280.2866666666667,283.802,L8
2015-04-19 21:53:50.674,227.66285714285715,208.0885714285714,216.64333333333332,285.04,289.25166666666667,L8
2015-04-19 21:54:14.629,226.43875,207.70499999999998,213.71857142857144,283.49875,287.38,L8
2015-05-05 21:53:36.670,230.17125,210.20375,216.50571428571428,287.03125,292.1271428571428,L8
2015-05-05 21:54:00.633,230.66999999999996,210.48444444444445,217.26250000000002,288.1833333333333,294.3325,L8
2015-05-12 21:59:40.983,226.73499999999999,208.86700000000002,214.16333333333333,285.106,290.6711111111111,L8
2015-05-21 21:53:31.594,227.66799999999998,209.842,215.37333333333333,285.729,291.06444444444446,L8
2015-05-21 21:53:55.557,228.73272727272726,210.63,217.87399999999997,287.3781818181818,292.736,L8
2015-05-28 21:59:43.617,228.73272727272726,210.63,217.87399999999997,285.2783333333333,292.736,L8
2015-06-06 21:53:40.583,228.48416666666665,210.50750000000002,218.16636363636363,286.02230769230766,292.93545454545455,L8
2015-06-06 21:54:04.546,225.12615384615384,208.37846153846155,215.37916666666663,286.02230769230766,288.9583333333333,L8
2015-06-13 21:59:55.847,223.52214285714285,207.57642857142858,213.75,284.93071428571426,287.7307692307692,L8
2015-06-22 21:53:47.626,223.52214285714285,207.57642857142858,213.75,284.93071428571426,284.05642857142857,L8
2015-06-29 22:00:02.432,223.21533333333335,207.25866666666667,214.1,285.284,284.466,L8
2015-07-15 22:00:12.360,220.24066666666667,205.50533333333337,210.64142857142855,283.4066666666667,281.2573333333333,L8
2015-08-16 22:00:22.731,220.24066666666667,205.50533333333337,210.64142857142855,281.875625,279.38125,L8
2015-08-25 21:54:15.555,218.54500000000002,204.348125,208.63,281.1258823529412,278.67529411764707,L8
2015-08-25 21:54:39.518,217.02235294117648,203.29352941176472,206.86874999999998,280.43388888888893,277.99833333333333,L8
2015-10-19 22:00:41.924,208.78538461538463,198.28846153846155,201.22615384615386,277.4369230769231,274.80285714285714,L8
2015-12-06 22:00:46.946,196.97000000000003,190.3785714285714,187.43571428571428,268.9042857142857,263.03375,L8
2015-12-31 21:54:58.788,191.44,192.23333333333335,191.615,270.13500000000005,268.915,L8
2016-01-16 21:54:33.494,191.58250000000004,193.70000000000002,211.1916666666667,282.20166666666665,279.60499999999996,L8
2016-02-01 21:54:31.283,199.882,198.56500000000003,218.28571428571428,282.8071428571429,283.0885714285714,L8
2016-02-01 21:54:55.246,206.69333333333336,202.47714285714284,223.83625,283.5525,286.5925,L8
2016-02-24 22:00:32.934,215.44400000000002,209.71666666666667,239.08285714285714,294.46999999999997,300.16833333333335,L8
2016-03-04 21:54:21.556,215.82666666666668,210.3485714285714,239.165,292.0057142857143,298.18,L8
2016-03-04 21:54:45.519,218.82,211.44125,240.18333333333334,291.26375,298.51,L8
2016-03-20 21:54:15.119,222.52375,212.70777777777778,240.18333333333334,291.26375,301.4455555555556,L8
2016-03-20 21:54:39.082,222.52375,212.70777777777778,240.18333333333334,291.26375,304.434,L8
2016-03-27 22:00:21.157,222.52375,212.102,237.7,288.3644444444444,304.434,L8
2016-04-05 21:54:06.527,225.26444444444445,213.12818181818182,239.11272727272726,289.296,305.8818181818182,L8
2016-04-05 21:54:30.482,227.61999999999998,213.98416666666665,240.35583333333332,290.1963636363636,307.16833333333335,L8
2016-04-21 21:54:00.236,233.76799999999997,217.81916666666666,246.43000000000004,294.175,309.33153846153846,L8
2016-04-21 21:54:24.190,234.75545454545454,218.52846153846153,246.70538461538462,297.07615384615383,310.21571428571434,L8
2016-04-28 22:00:13.508,234.75545454545454,217.54642857142858,246.70538461538462,297.07615384615383,310.21571428571434,L8
2016-05-07 21:54:03.416,235.77499999999998,218.23333333333332,246.70538461538462,300.77785714285716,311.79600000000005,L8
2016-05-07 21:54:27.379,236.67000000000002,218.82750000000001,246.70538461538462,303.97933333333333,313.18375000000003,L8
2016-06-08 21:54:33.646,240.275,220.654,252.42416666666665,303.144,313.33,L8
2016-06-15 22:00:21.016,237.17846153846156,219.40124999999998,248.46692307692305,301.530625,311.0517647058823,L8
2016-07-01 22:00:30.433,234.67785714285716,217.93499999999997,244.50923076923075,301.66933333333327,309.2858823529412,L8
2016-07-26 21:54:28.635,232.04800000000003,216.4841176470588,236.36923076923074,296.99466666666666,305.8511764705882,L8
2016-07-26 21:54:52.598,229.87,215.39611111111108,233.46142857142857,295.108125,303.8088888888889,L8
2016-08-11 21:54:30.396,228.86357142857145,214.268125,228.74333333333334,293.3426666666666,300.51529411764704,L8
2016-08-11 21:54:54.359,228.86357142857145,214.268125,228.74333333333334,290.78999999999996,297.895,L8
2016-08-27 21:54:38.045,226.2607142857143,212.62062500000002,224.08416666666668,288.31687500000004,295.82388888888886,L8
2016-08-27 21:55:02.012,223.602,211.17529411764707,221.3176923076923,286.3911764705883,293.74315789473684,L8
2016-09-12 21:54:42.081,224.16785714285717,211.078125,218.51833333333332,287.863125,293.7676470588235,L8
2016-09-12 21:55:06.035,225.07533333333333,211.58823529411765,219.52923076923074,288.464705882353,293.7676470588235,L8
2016-10-30 21:54:49.407,213.84099999999998,205.993,203.66374999999996,281.0016666666667,273.5675,L8
