dates,satname,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0042,nzd0557-0043,nzd0557-0044,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049
2014-07-17 22:21:03.910000,L8,329.77,323.33,312.37,305.20,294.60,345.46,331.97,340.36,329.77,329.38,321.03,312.39,316.56,316.87,320.94,294.09,317.00,276.82,300.58,293.07,290.89,282.22,278.33,280.90,287.71,298.86,310.43,317.58,308.77,289.76,278.09,265.32,257.81,253.50,247.10,254.53,235.16,216.84,132.62,166.24,196.13,203.86,207.99,204.82,209.98,221.33,241.38,246.35,229.44,246.55
2014-08-02 22:20:46.799000,L8,309.54,287.20,279.38,274.74,272.26,265.91,260.79,254.13,250.25,248.32,243.30,241.88,244.97,253.49,257.91,260.81,260.17,254.03,257.59,235.02,232.82,267.56,270.11,230.34,440.66,467.08,331.74,434.61,467.00,226.07,205.65,196.18,196.34,197.29,191.40,186.57,170.23,,,,138.99,146.65,159.69,181.00,169.47,196.56,205.39,208.96,194.45,225.44
2014-08-02 22:21:10.767000,L8,230.40,207.39,190.37,161.72,172.62,235.82,233.56,210.02,204.45,210.11,194.75,218.95,203.21,232.70,243.69,249.24,250.09,236.53,184.45,188.69,201.70,203.02,190.07,206.40,214.80,217.27,223.17,233.12,228.63,203.30,,,,,,,,,,,,129.56,143.31,152.24,152.84,170.04,183.48,162.47,,
2014-08-18 22:20:51.886000,L8,324.75,308.94,298.75,293.74,291.90,288.10,278.13,298.83,290.61,288.95,288.61,256.75,286.59,292.21,294.52,295.54,279.80,283.80,267.24,269.68,261.58,256.29,247.03,259.03,262.47,268.05,275.20,284.90,278.05,260.94,246.05,238.81,228.35,227.29,222.95,228.20,198.68,173.88,148.95,164.28,167.90,177.23,181.34,184.05,191.06,200.44,213.76,217.89,204.64,222.39
2014-08-18 22:21:15.849000,L8,325.98,311.33,299.39,295.98,294.02,289.32,279.96,273.96,291.51,290.34,290.01,257.96,256.85,277.93,294.47,296.49,280.42,284.72,269.10,270.25,262.31,258.45,247.81,260.53,265.48,269.13,278.85,288.29,278.73,262.18,246.39,239.77,229.55,228.37,224.60,228.51,200.34,175.39,149.43,165.51,168.66,177.79,182.26,184.43,191.79,200.54,213.80,217.68,203.66,220.64
2014-09-03 22:20:54.579000,L8,368.55,422.87,434.71,410.41,421.55,489.15,503.38,501.20,458.96,457.41,440.99,443.87,405.36,402.09,377.45,314.84,311.52,332.53,295.06,284.47,269.87,299.81,253.85,267.46,279.57,285.76,295.40,302.43,340.30,409.90,423.12,419.97,376.30,417.47,405.69,237.67,216.52,204.76,178.60,192.14,199.53,202.63,200.10,199.97,200.59,213.74,224.23,240.02,217.38,226.15
2014-09-19 22:20:54.477000,L8,332.01,354.09,342.07,332.43,320.81,313.62,319.87,312.00,307.29,301.98,294.87,299.71,295.69,299.30,291.46,294.56,299.62,299.47,283.27,269.76,256.78,256.14,268.62,258.35,283.25,271.75,276.63,284.70,284.09,274.81,257.24,241.81,233.22,224.51,369.08,356.58,334.34,320.86,172.87,178.53,180.68,189.07,190.65,191.19,196.81,204.73,218.26,223.32,206.73,217.67
2014-09-19 22:21:18.444000,L8,329.94,321.54,313.09,329.07,304.51,295.46,318.31,310.14,303.62,295.20,290.11,297.57,294.09,296.94,288.27,275.25,283.54,284.13,262.47,267.73,255.79,251.87,252.52,248.91,243.49,269.50,273.08,282.67,282.17,273.23,253.80,238.05,231.27,221.02,224.76,222.86,202.07,185.68,149.61,173.28,176.00,340.03,338.40,336.72,301.60,311.64,215.60,220.63,203.75,215.68
2014-11-06 22:21:01.126000,L8,316.66,303.43,290.79,284.66,280.94,275.22,268.06,261.51,258.39,256.52,250.62,247.94,250.30,250.83,250.35,255.09,262.95,258.40,245.86,238.26,226.63,216.32,219.38,225.80,228.53,230.87,239.86,250.26,248.33,228.27,213.49,200.04,198.41,194.47,195.04,196.51,172.43,147.12,,,139.20,150.63,161.91,171.03,170.36,181.84,194.66,209.53,198.22,220.52
2015-03-14 22:20:23.206000,L8,320.12,306.95,293.49,285.63,281.31,274.98,268.95,261.34,261.33,256.73,250.97,248.06,251.76,254.61,252.32,257.25,263.49,258.47,247.97,241.00,229.88,221.24,222.62,226.50,229.63,233.52,241.25,251.73,249.81,232.38,217.65,208.86,201.86,201.01,201.31,201.38,174.25,146.52,,,142.57,150.11,163.04,180.04,174.53,182.14,193.98,207.02,195.84,208.88
