dates,nzd0391-0000,nzd0391-0001,nzd0391-0002,nzd0391-0003,nzd0391-0004,nzd0391-0005,nzd0391-0006,nzd0391-0007,nzd0391-0008,nzd0391-0009,nzd0391-0010,nzd0391-0011,nzd0391-0012,nzd0391-0013,nzd0391-0014,nzd0391-0015,nzd0391-0016,nzd0391-0017,nzd0391-0018,nzd0391-0019,nzd0391-0020,nzd0391-0021,satname
2020-02-26 22:07:12.690,373.9899999999999,360.34375,378.21125,372.20166666666665,303.15000000000003,296.48333333333335,184.09166666666667,194.16333333333333,163.55,368.95250000000004,173.14499999999998,182.57999999999998,313.985,285.05999999999995,197.58500000000004,196.62666666666664,187.92,185.83333333333334,260.55,350.74333333333334,336.6716666666666,358.64000000000004,L8
2020-03-13 22:07:06.074,374.09,360.87333333333333,378.54777777777775,371.5628571428571,303.15000000000003,296.135,182.11999999999998,194.16333333333333,163.55,368.95250000000004,175.58666666666667,186.03666666666666,311.3733333333334,283.6033333333333,227.96333333333334,196.62666666666664,187.92,185.83333333333334,276.615,350.1642857142857,337.86,356.26500000000004,L8
2020-03-13 22:07:30.028,374.09,362.26,379.532,373.69124999999997,303.15000000000003,296.135,181.86,194.16333333333333,163.55,368.65400000000005,175.58666666666667,186.03666666666666,311.3733333333334,283.6033333333333,246.77499999999998,196.62666666666664,187.92,185.83333333333334,276.615,350.885,339.83,355.75857142857143,L8
2020-04-14 22:06:50.036,375.51750000000004,366.66999999999996,380.74111111111114,376.1485714285714,294.2966666666667,296.1925,185.81428571428572,200.066,163.55,343.0216666666667,175.1925,186.83249999999998,309.305,282.03499999999997,253.67399999999998,192.8225,193.60250000000002,194.63333333333333,281.56333333333333,352.125,347.17833333333334,346.3225,L8
2020-05-16 22:06:39.488,364.11199999999997,365.169,380.044,373.73875000000004,290.3,296.06,185.72125,199.94333333333336,162.25333333333333,324.6457142857143,175.098,186.472,309.305,282.03499999999997,253.67399999999998,190.438,195.044,197.085,261.385,343.8755555555556,347.17833333333334,341.61777777777775,L8
2020-05-16 22:07:03.451,357.15500000000003,363.7581818181818,379.5290909090909,371.8077777777778,295.848,295.935,185.67111111111112,199.68285714285713,161.39,310.96750000000003,174.65833333333333,186.32333333333335,309.305,282.03499999999997,253.67399999999998,188.68499999999997,196.34666666666666,198.582,249.52799999999996,334.365,347.17833333333334,340.337,L8
2020-06-01 22:06:44.481,351.30571428571426,363.1666666666667,379.3241666666666,370.325,297.2683333333334,295.8157142857143,185.51500000000001,199.02125,161.148,298.5288888888889,175.60857142857142,187.97285714285712,309.305,282.03499999999997,253.67399999999998,190.52142857142854,196.76428571428573,200.00333333333333,242.52166666666668,334.365,347.17833333333334,339.64909090909094,L8
2020-06-01 22:07:08.444,351.30571428571426,363.44692307692304,379.7776923076923,370.90909090909093,297.2683333333334,296.09375,185.51500000000001,199.17111111111112,161.148,298.5288888888889,175.60857142857142,187.97285714285712,309.305,284.414,259.4316666666667,190.52142857142854,196.76428571428573,200.00333333333333,239.23,334.365,347.68857142857144,340.14833333333337,L8
2020-08-04 22:07:11.601,339.85599999999994,362.3381818181818,379.7872727272727,371.72,298.0566666666667,295.38666666666666,179.48874999999998,198.2914285714286,159.702,276.9725,175.42000000000002,188.12142857142857,304.625,283.9833333333333,290.355,185.91799999999998,200.71833333333336,201.48833333333334,239.23,322.5842857142857,351.61999999999995,334.701,L8
2020-08-04 22:07:35.564,337.00333333333333,361.1175,379.0816666666667,371.72,298.0566666666667,295.38666666666666,178.04888888888888,199.17375,159.26500000000001,269.56,174.77625,186.72625,304.625,283.9833333333333,290.355,183.95666666666668,197.24,199.63714285714286,232.95625,322.5842857142857,351.61999999999995,334.701,L8
