dates,nzd0150-0000,nzd0150-0001,nzd0150-0002,nzd0150-0003,nzd0150-0004,nzd0150-0005,nzd0150-0006,nzd0150-0007,nzd0150-0008,nzd0150-0009,nzd0150-0010,nzd0150-0011,nzd0150-0015,nzd0150-0016,nzd0150-0017,nzd0150-0026,nzd0150-0027,nzd0150-0012,nzd0150-0013,nzd0150-0014,nzd0150-0018,nzd0150-0019,nzd0150-0023,nzd0150-0024,nzd0150-0025,nzd0150-0020,nzd0150-0021,nzd0150-0022,satname
2018-06-28 22:04:40+00:00,334.37333333333333,332.74,305.17,334.3,334.1933333333334,339.81,27.705,61.400000000000006,103.78500000000001,149.94,185.005,192.925,303.84000000000003,301.4549999999999,297.6,294.18666666666667,307.6333333333334,191.68,165.6,314.115,302.86,307.85,303.115,292.285,282.77,296.09499999999997,280.44,268.03499999999997,L8
2018-08-31 22:05:11+00:00,334.37333333333333,332.74,305.17,334.3,333.51250000000005,341.19,30.73,68.42666666666666,112.58333333333333,152.84,195.86,199.75333333333333,302.64000000000004,300.44,295.92333333333335,294.0125,306.8225,194.51333333333332,169.08,312.21,301.0733333333333,304.0266666666667,304.03,292.71,284.07,294.3333333333333,272.63666666666666,266.40000000000003,L8
2018-10-18 22:05:53+00:00,335.82,325.07000000000005,305.17,334.9866666666667,334.47,339.965,27.94,63.413333333333334,110.62666666666668,151.30666666666667,201.49333333333334,192.54999999999998,301.7733333333333,299.97999999999996,295.93333333333334,292.74,304.72749999999996,188.99333333333334,166.85333333333332,310.86999999999995,300.82,302.38000000000005,304.40000000000003,293.3066666666667,284.89000000000004,292.9266666666667,267.21,264.4766666666667,L8
2018-11-03 22:05:33+00:00,339.80333333333334,304.51,305.17,341.0366666666667,338.26,342.68,28.33666666666667,64.81333333333335,111.65333333333335,151.99666666666664,209.09333333333333,188.63,305.18666666666667,301.92333333333335,298.6033333333333,293.21250000000003,305.6125,190.33666666666667,163.05999999999997,311.4733333333333,304.19,305.2633333333333,308.02,296.5333333333333,289.1466666666667,296.71999999999997,265.50666666666666,267.38999999999993,L8
2019-01-06 22:05:53+00:00,351.99333333333334,342.33,343.98,349.85666666666674,342.15250000000003,346.16999999999996,28.33666666666667,64.81333333333335,111.65333333333335,151.99666666666664,209.09333333333333,188.63,304.3025,301.1375,297.5825,295.6666666666667,309.19666666666666,190.33666666666667,163.05999999999997,311.42999999999995,303.4375,305.11,308.02,296.5333333333333,289.1466666666667,295.34749999999997,268.7475,267.28,L8
2019-04-12 22:05:30+00:00,351.325,345.30499999999995,345.85,348.2325,344.3675,346.73,26.189999999999998,57.086666666666666,104.45333333333333,149.32333333333335,201.18999999999997,184.29,306.3325,302.0475,298.6825,297.84999999999997,312.85333333333335,187.99666666666667,158.40666666666667,313.3225,305.4275,308.4175,307.94666666666666,296.75,289.2833333333333,297.235,274.7075,271.77250000000004,L8
2019-06-15 22:05:51+00:00,348.24,345.30499999999995,345.85,343.9533333333334,342.25,346.92333333333335,26.15,65.675,115.64500000000001,151.16,197.66500000000002,188.45999999999998,306.69666666666666,302.6766666666667,296.7266666666667,307.07000000000005,313.155,202.185,162.08,314.69000000000005,305.08,309.0366666666667,307.7,298.365,288.61,298.09000000000003,280.7966666666667,276.43333333333334,L8
2019-08-02 22:06:05+00:00,345.09666666666664,348.28,347.72,335.93333333333334,344.43499999999995,348.93,26.15,65.675,115.64500000000001,151.16,197.66500000000002,188.45999999999998,309.21999999999997,304.625,297.83000000000004,307.07000000000005,313.155,202.185,162.08,316.38500000000005,307.03,311.23,307.7,298.365,288.61,301.52,281.96000000000004,281.175,L8
2019-08-18 22:06:11+00:00,340.08,348.28,347.72,330.735,344.43499999999995,348.93,26.15,65.675,115.64500000000001,151.16,197.66500000000002,188.45999999999998,309.21999999999997,304.625,297.83000000000004,303.6766666666667,311.22333333333336,202.185,162.08,316.38500000000005,307.03,311.23,307.7,288.15333333333336,286.92333333333335,301.52,281.96000000000004,281.175,L8
2019-09-19 22:06:20+00:00,341.52200000000005,346.63,348.81,333.588,341.94,345.96000000000004,26.15,65.675,115.64500000000001,151.16,197.66500000000002,188.45999999999998,308.07,303.3433333333333,296.82666666666665,301.43,309.83500000000004,202.185,162.08,314.40000000000003,304.99666666666667,309.06333333333333,307.02,289.21,286.545,298.7966666666667,274.58666666666664,275.46,L8
