dates,satname,nzd0211-0000,nzd0211-0001,nzd0211-0002,nzd0211-0003,nzd0211-0004,nzd0211-0005,nzd0211-0006,nzd0211-0007,nzd0211-0008,nzd0211-0009,nzd0211-0010,nzd0211-0011,nzd0211-0012,nzd0211-0013,nzd0211-0014,nzd0211-0015,nzd0211-0016,nzd0211-0017,nzd0211-0018,nzd0211-0019,nzd0211-0020,nzd0211-0021,nzd0211-0022,nzd0211-0023,nzd0211-0024,nzd0211-0025,nzd0211-0026,nzd0211-0027,nzd0211-0028,nzd0211-0029,nzd0211-0030,nzd0211-0031,nzd0211-0037,nzd0211-0038,nzd0211-0039,nzd0211-0040,nzd0211-0041,nzd0211-0042,nzd0211-0043,nzd0211-0044,nzd0211-0045,nzd0211-0046,nzd0211-0052,nzd0211-0053,nzd0211-0054,nzd0211-0055,nzd0211-0056,nzd0211-0057,nzd0211-0058,nzd0211-0059,nzd0211-0068,nzd0211-0069,nzd0211-0070,nzd0211-0071,nzd0211-0072,nzd0211-0073,nzd0211-0074,nzd0211-0075,nzd0211-0076,nzd0211-0077,nzd0211-0078,nzd0211-0047,nzd0211-0048,nzd0211-0060,nzd0211-0062,nzd0211-0063,nzd0211-0064,nzd0211-0065,nzd0211-0066,nzd0211-0067,nzd0211-0032,nzd0211-0061,nzd0211-0049,nzd0211-0050,nzd0211-0051,nzd0211-0033,nzd0211-0034,nzd0211-0035,nzd0211-0036
2003-05-28 21:42:22.600000,L7,255.21,259.76,264.60,256.32,257.98,260.09,265.03,268.02,274.56,276.43,281.05,291.82,298.03,278.24,287.49,284.79,287.06,289.44,276.84,265.78,265.13,244.65,227.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.82,322.04,322.97,321.24,307.91,322.17,318.56,314.45,317.15,292.79,,,,,,,326.91,330.35,346.53,314.75,,,,,,,,,
2003-07-23 21:30:14.355000,L5,291.59,302.50,298.90,297.14,297.21,303.11,316.25,318.60,327.47,331.29,329.15,329.39,331.91,329.46,331.26,337.75,336.05,349.83,350.06,325.27,323.16,241.16,,,,,,,,,,,,326.16,333.87,342.24,341.46,341.05,341.34,344.39,335.43,339.18,278.32,,,,,,,,323.22,321.92,311.82,329.30,333.34,327.35,319.77,314.23,322.44,285.27,,344.36,343.62,,,,,,,342.59,,,347.52,338.19,330.20,,,,
2003-12-30 21:32:24.694000,L5,302.93,312.94,308.53,305.64,310.53,314.37,319.68,323.64,338.68,343.88,342.61,341.21,344.47,344.09,342.83,346.50,348.71,357.01,345.02,344.83,339.19,336.88,318.70,300.00,265.77,255.59,248.37,254.01,255.82,255.89,257.62,263.75,320.30,335.76,340.76,347.47,348.53,349.99,344.90,349.75,347.26,349.30,360.67,364.11,364.50,367.85,366.65,368.01,370.38,375.71,359.80,356.41,353.71,360.25,356.29,352.74,348.99,346.53,345.82,320.13,301.86,354.91,352.81,378.24,376.37,377.11,372.99,368.12,372.41,365.45,243.08,384.13,360.09,361.54,363.80,246.53,,,
2004-01-15 21:32:26.348000,L5,300.94,309.62,306.88,306.26,314.26,325.57,330.58,329.47,338.38,341.73,342.12,338.43,340.69,342.91,338.92,338.29,342.13,343.48,352.09,352.09,,,,,,,,,,,,,,,,,,,,,,366.45,361.26,385.20,,,,,,387.93,392.00,,366.64,355.77,357.23,353.23,353.26,348.10,354.40,355.04,355.85,358.57,370.27,383.48,379.11,374.92,373.90,366.87,369.43,370.12,,375.85,364.16,367.20,364.34,,,,
2004-05-06 21:33:58.336000,L5,260.40,282.63,269.76,294.42,269.81,296.36,307.61,321.15,312.96,331.70,311.21,317.33,333.68,343.03,350.52,354.82,357.65,361.08,350.90,356.36,351.86,,304.86,250.25,242.78,231.79,234.99,243.24,245.43,253.01,250.85,259.58,332.19,346.17,342.56,351.20,352.66,352.68,348.97,356.54,351.59,363.67,369.70,372.37,373.03,374.59,375.45,376.10,375.35,383.53,364.18,361.05,357.95,363.34,360.10,361.92,356.85,357.85,361.77,329.19,307.88,354.36,361.39,386.68,381.61,386.56,373.27,375.83,370.44,371.94,238.15,392.64,366.57,370.78,370.06,,,,281.52
2004-05-22 21:34:26.036000,L5,345.37,346.68,341.73,337.19,339.90,337.65,341.95,339.17,343.86,351.28,351.56,343.16,347.81,349.68,352.83,349.30,355.77,360.50,356.34,,354.16,348.82,318.06,258.87,256.71,240.35,243.12,250.28,251.15,258.52,252.49,260.80,323.90,347.89,343.99,349.55,353.34,356.18,354.64,359.32,356.67,360.25,374.52,376.90,380.40,382.95,385.24,382.95,384.98,388.98,364.35,364.62,363.44,363.65,362.22,362.72,361.29,352.07,356.64,317.34,303.58,362.31,365.75,392.43,388.93,382.02,376.64,371.32,374.62,374.76,240.17,388.91,370.69,372.73,372.26,245.23,,,266.19
2004-06-07 21:34:54.755000,L5,340.67,335.74,333.55,332.65,333.74,327.45,340.13,336.49,340.04,350.08,343.56,343.55,351.37,347.71,350.85,350.58,353.97,361.00,353.28,353.57,354.90,348.85,318.77,256.07,249.08,239.82,241.90,254.16,253.87,255.72,248.45,259.02,317.69,342.69,344.13,351.94,352.21,351.90,356.46,353.41,355.36,357.80,375.24,374.66,372.96,376.37,381.78,378.26,382.05,381.37,365.89,358.98,362.58,363.76,362.65,358.81,358.19,357.42,361.55,330.56,308.26,364.81,365.92,389.93,382.14,383.08,377.72,372.72,377.11,373.42,247.17,387.48,372.57,370.67,371.35,259.78,,,
2004-06-23 21:35:22.995000,L5,333.74,333.54,330.49,320.94,327.38,325.35,334.01,337.73,335.41,339.20,342.21,341.39,348.96,345.47,347.98,349.85,351.67,358.81,353.03,352.39,353.85,346.97,315.46,260.31,251.52,242.34,241.64,255.10,253.81,251.88,250.96,262.35,322.06,344.77,346.06,350.66,355.58,355.75,354.79,356.97,357.33,359.06,368.21,371.93,373.69,374.61,376.92,376.00,377.25,380.54,372.00,361.92,365.03,364.91,364.37,368.03,366.57,362.31,372.84,332.43,311.46,367.71,366.43,382.83,378.35,381.01,373.76,375.01,379.22,372.24,255.83,386.25,373.99,372.01,371.58,252.05,,,
2004-07-25 21:36:14.167000,L5,325.81,337.25,327.68,325.70,322.35,328.87,337.63,334.97,335.30,345.00,340.10,343.53,348.86,352.13,353.33,351.25,355.68,357.72,357.76,352.71,346.33,347.24,313.10,253.46,240.89,228.97,236.20,250.91,247.19,247.39,246.12,257.63,320.25,354.69,346.09,357.65,362.32,362.86,358.56,357.95,358.08,359.01,363.70,371.93,369.05,374.02,372.83,374.98,380.71,380.98,366.02,363.14,358.10,365.03,358.53,363.10,359.97,356.52,361.42,332.77,306.48,363.27,364.30,389.11,382.71,383.79,374.18,373.82,380.60,377.17,238.67,389.70,367.68,368.65,369.14,247.99,,,
2004-08-26 21:36:59.731000,L5,340.10,350.17,348.01,320.35,334.88,328.72,346.42,337.57,339.96,346.99,343.63,344.47,348.27,353.70,352.12,355.52,357.20,364.58,355.43,,356.10,353.00,326.22,254.43,244.06,230.45,229.10,236.85,241.22,244.89,245.16,249.55,318.13,359.84,349.49,356.96,363.67,361.12,359.86,356.68,356.97,359.77,368.50,369.49,375.38,377.67,376.14,381.89,384.26,388.71,373.63,367.07,371.51,369.49,365.43,366.19,363.73,364.62,366.91,337.46,321.96,362.73,367.28,394.21,391.47,384.81,380.94,377.87,378.58,376.21,,391.46,371.94,367.09,366.94,,,,
