dates,nzd0420-0000,nzd0420-0001,nzd0420-0002,nzd0420-0003,nzd0420-0004,nzd0420-0005,nzd0420-0006,nzd0420-0007,nzd0420-0008,nzd0420-0009,nzd0420-0010,nzd0420-0011,nzd0420-0012
2018-03-31 22:13:15+00:00,298.775,284.97,276.8,279.2866666666667,258.07,234.99,233.725,264.21,288.44,306.69,290.74333333333334,247.055,277.225
2018-04-16 22:13:06+00:00,268.6666666666667,278.36,272.6325,276.84000000000003,252.36666666666667,228.09,233.725,264.21,288.44,306.69,290.74333333333334,247.055,277.225
2018-05-02 22:12:57+00:00,253.145,273.164,272.006,276.026,258.14250000000004,226.0533333333333,233.725,264.21,288.8925,305.09000000000003,291.625,237.85,238.1933333333333
2018-05-18 22:12:46+00:00,253.145,273.164,272.006,276.026,258.14250000000004,226.0533333333333,233.725,264.21,288.8925,303.254,291.86,232.4275,216.82
2018-06-28 22:06:40+00:00,231.72750000000002,268.4425,271.944,273.5525,257.1866666666667,227.3625,257.09499999999997,258.31666666666666,282.87999999999994,300.09,289.44,225.285,187.885
2018-07-21 22:13:01+00:00,230.80599999999998,268.4425,271.944,277.464,267.1775,229.83200000000002,269.36999999999995,265.78499999999997,282.87999999999994,300.09,289.44,226.484,188.07999999999998
2018-08-31 22:07:11+00:00,226.71999999999997,263.65999999999997,269.452,277.78200000000004,267.1775,228.085,269.36999999999995,275.30999999999995,293.05999999999995,301.1233333333333,294.96666666666664,226.484,188.07999999999998
2018-12-21 22:07:30+00:00,239.5233333333333,259.78,267.51,283.39500000000004,297.65,230.11666666666667,295.08,282.60999999999996,,,,245.08,214.98333333333335
2019-01-22 22:07:26+00:00,273.98,259.78,251.26,279.52,278.37,225.19,275.08000000000004,270.46,312.47,,,266.435,285.82000000000005
2019-02-07 22:07:23+00:00,273.98,275.77,267.805,280.57666666666665,268.95666666666665,226.75333333333333,263.5566666666667,262.46000000000004,308.37,311.35,296.4,260.7133333333333,282.98333333333335
2019-02-14 22:13:33+00:00,283.525,275.93333333333334,256.56,280.57666666666665,268.95666666666665,226.75333333333333,263.5566666666667,262.46000000000004,308.37,302.95000000000005,276.41499999999996,251.4075,278.71500000000003
2019-03-02 22:13:29+00:00,297.21500000000003,284.1033333333333,257.16,280.66,257.5725,230.4533333333333,263.5566666666667,254.5,308.37,303.18666666666667,278.42,248.702,277.462
2019-05-30 22:07:21+00:00,297.21500000000003,284.1033333333333,257.16,280.66,257.5725,231.52249999999998,265.42,260.725,295.6566666666667,303.18666666666667,286.885,245.09833333333336,258.7083333333333
2019-06-06 22:13:35+00:00,297.21500000000003,284.1033333333333,257.16,280.66,257.5725,231.446,265.42,263.334,295.6566666666667,303.18666666666667,290.76,242.3014285714286,245.16428571428574
2019-07-08 22:13:44+00:00,297.21500000000003,284.1033333333333,257.16,281.78,244.04666666666665,231.98833333333332,263.4225,266.62666666666667,290.675,303.18666666666667,292.375,237.34999999999997,230.19
2019-07-24 22:13:48+00:00,297.21500000000003,284.1033333333333,248.68,274.8825,236.25333333333333,232.17999999999998,268.81666666666666,265.86,283.41,303.18666666666667,288.8428571428571,234.29285714285717,218.64000000000001
2019-08-02 22:07:41+00:00,297.21500000000003,284.1033333333333,248.68,274.8825,236.25333333333333,232.17999999999998,268.81666666666666,265.86,283.41,303.18666666666667,288.8428571428571,233.925,218.64000000000001
2019-08-18 22:07:47+00:00,301.36,284.29,238.15,273.0675,243.9766666666667,231.102,283.94,269.202,282.83666666666664,305.485,293.8383333333333,231.21857142857144,191.3133333333333
2019-10-05 22:08:00+00:00,298.87,282.05,231.685,272.9525,245.39666666666668,231.92,283.94,272.12800000000004,285.43,301.12,296.12,230.10833333333335,188.77166666666668
2019-10-21 22:08:01+00:00,294.38,265.015,230.17666666666665,270.562,245.39666666666668,231.92,283.94,272.12800000000004,285.43,301.12,296.12,230.10833333333335,188.77166666666668
2019-11-13 22:14:09+00:00,294.38,276.20666666666665,245.445,273.365,250.69,232.54166666666666,274.5875,275.52,290.06,305.56666666666666,296.8183333333333,233.6657142857143,201.97571428571428
2019-12-08 22:07:56+00:00,298.58,281.1975,254.516,275.2685714285714,252.11800000000002,232.34500000000003,267.635,278.942,298.07,307.9225,291.936,239.33166666666662,227.25333333333333
2020-02-10 22:07:40+00:00,298.58,281.1975,262.214,277.0216666666667,249.898,231.29749999999999,252.485,279.996,303.655,307.9225,297.1933333333333,242.60999999999999,244.3875
2020-03-04 22:13:44+00:00,300.295,283.42600000000004,265.75333333333333,277.935,240.12000000000003,234.90499999999997,238.745,282.2025,303.905,308.1266666666667,298.36333333333334,251.72333333333333,274.71999999999997
