dates,satname,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043,nzd0343-0013
2002-12-10 21:49:17.131000,L7,,,,,,,,,,407.14,390.12,379.79,363.69,355.77,367.75,355.29,372.28,,350.35,344.63,343.13,346.29,355.24,375.27,363.75,353.70,,,,,,,,,,,,,,333.51,331.65,332.79,340.66,361.26
2002-12-26 21:49:23.939000,L7,,325.04,258.66,256.35,,,,,,,,,,,,,282.71,324.67,319.74,316.20,302.77,301.58,318.53,281.68,294.59,297.59,320.18,329.56,297.32,326.28,303.96,310.41,309.06,323.52,308.91,302.88,307.52,309.71,290.93,273.17,281.92,346.35,331.15,
2003-01-11 21:49:02.380000,L7,346.24,337.18,318.96,343.17,,,354.17,369.33,391.92,395.95,372.40,361.88,351.98,350.61,347.10,326.94,328.63,329.33,338.02,354.08,334.56,328.62,329.19,333.78,329.98,319.97,331.89,344.20,,348.00,331.39,318.04,324.86,336.00,335.82,336.38,324.85,321.29,323.51,312.30,306.79,312.44,327.20,357.41
2003-01-27 21:49:33.029000,L7,332.48,311.68,302.43,343.80,328.90,334.53,307.35,312.37,382.74,379.70,376.03,369.87,298.87,366.59,367.68,348.83,346.16,333.12,328.54,320.75,322.06,326.08,324.75,325.92,324.31,314.26,338.34,336.27,330.69,335.83,324.29,338.99,326.39,342.58,343.09,328.50,325.22,325.29,319.47,306.24,314.62,318.36,315.23,358.89
2003-03-16 21:49:22.109000,L7,354.59,329.96,321.88,318.83,324.41,329.75,335.15,314.46,375.00,365.49,365.60,348.57,300.66,351.56,349.81,333.82,320.79,330.72,336.80,334.97,337.75,325.82,326.91,336.99,323.95,312.01,331.36,339.70,341.59,336.65,324.04,311.37,324.73,332.15,334.00,321.13,314.96,315.65,315.79,308.32,307.12,311.93,315.26,347.29
2003-07-23 21:31:26.274000,L5,,,,,,,,,,,,,,,,,266.97,281.46,285.44,266.20,276.81,271.44,286.15,268.24,265.23,277.47,281.01,272.93,267.15,268.20,261.75,265.03,271.66,288.95,282.07,279.82,263.45,274.74,280.55,282.20,284.76,290.69,298.16,
2003-07-30 21:37:21.273000,L5,338.74,332.26,307.30,313.19,308.15,319.14,320.22,319.24,359.07,350.05,359.24,344.56,297.60,340.05,346.48,333.41,331.60,323.78,326.89,321.11,326.49,317.62,324.96,312.70,317.62,316.01,321.74,314.40,333.27,333.26,323.89,308.26,318.55,327.12,322.02,311.70,301.45,319.83,309.35,307.75,306.03,312.62,325.75,347.98
2003-07-30 21:37:45.389000,L5,339.56,332.77,305.93,317.43,310.68,320.69,321.21,320.00,365.30,350.89,359.72,345.28,297.98,338.68,347.04,334.51,334.16,325.57,327.87,321.61,327.96,317.92,326.45,313.21,318.10,318.93,322.04,314.94,330.01,333.34,324.71,308.56,318.85,327.74,322.23,312.20,299.94,321.41,309.28,308.35,306.54,314.34,324.99,350.71
2003-08-15 21:37:36.307000,L5,325.22,315.83,303.19,307.19,288.00,302.51,304.56,305.60,350.04,335.36,347.19,346.21,292.03,332.34,334.38,322.50,320.03,321.20,316.38,322.87,322.94,319.21,322.54,313.90,315.46,318.54,317.57,320.53,324.33,332.02,312.80,308.37,314.96,322.39,322.62,309.26,309.91,312.74,309.15,310.94,310.19,313.24,328.55,334.35
2003-08-24 21:32:00.647000,L5,,,,,,,,,,,,,,,,,,,,,275.49,290.83,299.18,278.66,281.00,297.34,298.89,286.93,299.48,293.19,289.81,286.90,297.38,306.77,301.43,296.49,279.48,285.87,286.54,285.57,291.60,296.46,313.77,
2003-10-18 21:38:36.209000,L5,336.31,324.46,313.93,307.71,310.50,323.05,323.08,325.88,358.17,343.35,338.70,339.74,311.68,337.00,348.10,334.52,341.60,333.93,337.37,343.14,340.77,337.36,338.07,315.60,317.41,310.18,321.54,328.82,326.21,322.39,318.25,321.91,330.57,340.86,337.06,328.03,322.00,324.40,328.30,319.39,309.62,312.70,318.15,338.47
2003-11-19 21:39:26.321000,L5,350.20,327.33,319.42,312.60,308.05,312.33,318.38,314.94,361.61,342.26,345.74,345.01,328.16,354.88,362.85,355.59,350.04,345.42,332.52,323.15,320.24,328.86,328.41,320.79,314.71,332.39,341.41,348.81,345.92,346.70,334.73,331.85,337.98,348.19,337.72,314.58,310.67,313.03,312.33,305.50,308.72,310.37,319.08,361.59
2003-11-28 21:33:21.973000,L5,333.93,313.48,304.18,309.23,309.95,308.01,320.05,318.82,350.84,348.64,343.04,358.01,293.38,340.30,348.89,340.11,329.92,336.74,336.37,334.31,326.40,327.01,336.34,321.99,323.18,313.90,320.06,323.39,326.63,325.84,313.64,310.44,323.88,325.35,327.49,317.97,310.15,310.76,309.71,303.82,303.41,309.81,316.08,345.02
2003-12-14 21:33:26.453000,L5,,,,,,271.42,263.86,285.61,299.14,293.93,307.86,302.85,266.12,303.28,313.62,293.55,299.57,305.79,309.71,310.07,302.12,308.09,298.54,285.21,282.66,293.38,301.81,297.13,296.81,300.92,293.80,293.75,308.25,316.18,314.83,307.30,293.29,296.03,297.08,293.99,293.51,299.71,306.04,295.42
2003-12-21 21:39:43.071000,L5,,,,,,,,,,,,,,314.87,325.99,315.38,310.75,315.70,317.18,302.85,290.13,289.82,288.95,279.57,284.22,290.75,303.12,300.55,303.16,313.44,325.08,348.62,336.34,331.75,319.38,316.61,301.02,295.58,290.20,290.64,294.40,308.10,310.58,312.30
2003-12-30 21:33:36.470000,L5,329.25,318.43,315.11,313.90,317.66,320.72,328.80,326.66,364.41,349.74,358.67,353.28,321.50,344.28,348.29,335.86,334.55,321.81,328.42,326.03,330.89,332.89,332.16,332.27,323.86,318.45,327.97,333.53,329.22,328.23,320.35,313.00,319.84,325.28,325.98,319.06,319.53,324.45,315.20,315.61,316.89,316.00,324.98,348.49
2004-01-22 21:39:52.321000,L5,352.28,336.00,326.07,326.19,322.38,322.96,329.57,354.57,367.94,358.31,352.62,357.65,291.80,370.82,354.20,350.64,351.03,337.24,350.92,329.45,333.04,328.31,336.17,325.76,323.18,319.04,340.39,349.31,357.26,354.01,338.63,327.20,337.71,357.67,350.23,340.09,315.11,319.10,315.73,311.92,308.35,315.18,322.58,362.43
2004-02-23 21:40:02.028000,L5,342.12,327.39,319.23,321.69,314.78,323.09,340.55,337.32,360.14,338.59,341.12,344.96,298.24,330.57,340.28,346.34,337.56,340.23,337.37,341.05,332.75,330.56,321.32,314.48,305.76,300.42,319.99,319.16,323.60,323.65,317.28,321.09,325.98,334.69,334.78,325.83,318.36,322.33,318.31,309.08,302.82,308.35,314.41,346.22
2004-03-19 21:33:59.073000,L5,342.37,331.03,320.70,323.52,323.00,326.64,343.47,332.67,368.95,357.86,350.73,359.02,321.90,345.90,354.73,347.43,338.93,342.21,341.74,341.58,342.77,335.00,341.89,330.58,332.66,321.14,340.04,344.28,352.83,347.78,327.61,316.81,333.16,340.53,339.59,333.38,318.51,331.73,320.73,327.40,323.30,336.81,338.69,356.37
2004-04-20 21:34:43.076000,L5,334.58,327.88,318.33,319.58,307.49,325.20,326.89,333.17,366.11,346.29,355.36,352.18,320.31,349.94,356.90,341.33,325.30,333.62,330.02,327.96,327.01,323.27,328.64,320.31,316.34,310.40,330.69,329.01,333.00,337.46,325.12,314.83,321.29,326.28,325.29,315.59,307.06,315.27,312.35,309.16,306.51,312.57,318.40,348.34
2004-06-23 21:36:34.771000,L5,326.27,315.07,295.14,309.27,300.64,307.23,318.96,306.27,364.88,325.23,350.55,344.33,291.11,338.15,341.65,325.69,324.28,330.56,326.75,326.44,327.30,326.15,329.98,321.61,311.29,314.87,318.46,320.42,325.07,327.80,308.98,300.25,311.64,326.81,318.53,300.56,298.55,303.22,306.53,302.98,309.13,313.20,320.33,348.82
2004-07-25 21:37:25.800000,L5,338.35,329.23,322.14,320.58,319.18,315.52,329.35,337.13,368.36,372.57,353.45,349.53,300.52,350.29,353.70,350.51,336.34,336.93,339.84,342.08,335.58,335.81,346.53,336.43,321.98,323.17,336.52,348.38,343.15,341.03,323.48,317.92,328.72,344.84,332.37,329.36,319.44,324.31,324.18,311.26,317.35,319.39,333.91,352.47
2004-09-18 21:44:58.764000,L5,316.96,300.69,285.38,292.03,285.07,293.99,285.80,302.11,330.27,324.23,334.17,327.84,285.51,329.54,339.25,334.93,325.05,336.02,325.73,321.76,318.82,310.53,309.68,308.18,300.26,304.64,315.51,314.49,325.62,326.69,318.29,309.68,315.65,324.00,325.80,320.30,302.26,308.78,303.51,296.82,298.91,302.77,307.59,
