dates,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0013,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043
2003-12-30 21:33:36+00:00,331.53,321.89,311.7425,314.596,306.61400000000003,316.68600000000004,317.29333333333335,322.54833333333335,362.244,345.26500000000004,352.954,349.466,307.45,349.00999999999993,343.96000000000004,347.4875,335.9533333333333,334.66333333333336,325.3933333333334,326.1175,329.57666666666665,334.41,329.58666666666664,331.375,324.65333333333336,322.52000000000004,,,319.42,,,,,,,,,,,,,,,
2004-01-22 21:39:52+00:00,331.53,321.89,311.7425,314.44,306.21000000000004,314.7975,317.106,320.062,359.07,346.43600000000004,351.7975,349.65250000000003,305.11,347.55499999999995,343.514,350.0825,335.9533333333333,334.66333333333336,325.3933333333334,326.1175,329.57666666666665,334.8625,330.252,331.375,324.43666666666667,322.52000000000004,,,319.42,,,,,,,,,,,,,,,
2004-02-23 21:39:37+00:00,334.17999999999995,321.43,316.66,316.48,320.6,323.68,327.75,331.85999999999996,367.99,345.8233333333333,351.32,346.7033333333333,306.2625,346.79999999999995,341.52666666666664,351.3925,339.525,342.78499999999997,333.19500000000005,338.24,339.505,338.9166666666667,339.68999999999994,331.96000000000004,325.345,319.9266666666667,,,,,,,,,,,,,,,,,,
2004-03-19 21:33:59+00:00,334.17999999999995,321.43,316.66,316.48,320.6,323.68,327.75,332.115,367.99,345.8233333333333,352.165,346.7033333333333,309.812,346.79999999999995,343.6425,351.3925,343.26666666666665,342.57,333.19500000000005,338.24,339.505,338.9166666666667,339.68999999999994,331.96000000000004,325.345,319.9266666666667,,,,,,,,,,,,,,,,,,
2004-04-20 21:34:43+00:00,331.59,321.43,316.66,316.48,317.295,323.68,332.91499999999996,336.02,367.99,348.47333333333336,354.88000000000005,350.155,312.656,353.80499999999995,344.4066666666666,351.42333333333335,345.635,340.6700000000001,327.2,333.96,331.35,336.19500000000005,337.99,331.96000000000004,327.3366666666667,319.175,,,,,,,,,,,,,,,,,,
2004-06-23 21:36:34+00:00,331.59,321.43,309.39,316.48,313.45666666666665,318.495,332.91499999999996,331.418,367.99,344.33500000000004,354.88000000000005,350.155,309.91833333333335,353.80499999999995,344.97499999999997,350.9,342.06333333333333,337.70666666666665,327.2,333.96,332.675,335.74,337.99,331.96000000000004,327.9725,319.175,,,,,,,,,,,,,,,,,,
2005-05-09 21:42:07+00:00,,,,,,,,346.22,,,,,327.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-25 21:42:16+00:00,330.97,,315.8,,315.11,313.38,341.01,343.15,,352.33,356.15,,316.445,,350.38,346.5,342.43,,332.3,328.28,,,320.11,,,,,,320.03,,,,,,,,,,,,,,,
2005-06-10 21:42:24+00:00,331.63,,312.83000000000004,,311.665,315.29499999999996,337.255,340.4166666666667,,350.725,355.97,337.9,309.4866666666667,345.58,350.38,346.5,337.21500000000003,328.72,332.3,328.28,,,320.11,,328.93,,,,320.03,,,,,,,,,,,,,,,
2005-06-26 21:42:28+00:00,331.63,,309.99,,311.9533333333333,315.53666666666663,330.26,334.9,358.07,350.3866666666666,355.97,337.9,306.9825,345.58,350.38,346.5,337.21500000000003,328.62,332.3,328.28,,,320.11,,328.93,,,,320.03,,,,,,,,,,,,,,,
